episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,device,network_type,reward_processing_mode,reward_processing_scale,replay_size,avg_loss,avg_q,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,invalid_action_rate,backscatter_success_rate,active_success_rate,fallback_count,fallback_rate,executor_idle_count,executor_harvest_count,executor_backscatter_count,executor_active_count,executor_avoid_jammer_count
1,5,-1.1049142135623733,0.0,0.0,0.0,1.0,0.982,cuda,standard,none,1.0,5,0.08697085455060005,-0.08520282804965973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,1.152671572875252,2.0,0.0,0.0,0.19999999999999002,0.9369999999999999,cuda,standard,none,1.0,10,0.09036643579602241,-0.02363806888461113,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
