episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,replay_size,updates_per_episode,train_steps,target_update_count,avg_loss,avg_q_tot,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,backscatter_success_rate,active_success_rate,fallback_rate,device,high_level_action_0_count,high_level_action_1_count,high_level_action_2_count,high_level_action_3_count,high_level_action_4_count,high_level_action_5_count,high_level_action_6_count,high_level_action_7_count,high_level_action_8_count,high_level_action_9_count
1,200,-1701.3062946183354,161.0,0.5145631067961165,0.4689922480620155,0.28921617852161785,0.9924,1,1,0,0,0.0,0.0,37.0,223.0,35.0,0.49063670411985016,0.46875,0.0225,cuda,45.0,39.0,52.0,50.0,42.0,42.0,39.0,0.0,51.0,40.0
2,200,-1571.0867261766923,145.0,0.48513986013986016,0.49193548387096775,0.24891967086959096,0.9848,2,1,0,0,0.0,0.0,33.0,218.0,30.0,0.4954545454545455,0.7058823529411765,0.035,cuda,40.0,33.0,58.0,36.0,45.0,36.0,58.0,0.0,52.0,42.0
3,200,-1539.7751207283206,209.0,0.4780447390223695,0.4509090909090909,0.37025641025641026,0.9772,3,1,0,0,0.0,0.0,39.0,238.0,37.0,0.5709459459459459,0.5970149253731343,0.005,cuda,47.0,31.0,39.0,49.0,44.0,49.0,42.0,0.0,48.0,51.0
4,200,-1757.0685683598267,182.0,0.5154320987654321,0.4549019607843137,0.3516348195329087,0.9696,4,1,0,0,0.0,0.0,46.0,217.0,39.0,0.5615384615384615,0.5538461538461539,0.0075,cuda,43.0,39.0,32.0,52.0,45.0,61.0,41.0,0.0,45.0,42.0
5,200,-1572.2357461442898,181.0,0.48959200666111574,0.4559386973180077,0.37049476957873906,0.962,5,1,0,0,0.0,0.0,39.0,217.0,44.0,0.4198717948717949,0.5952380952380952,0.02,cuda,45.0,45.0,41.0,52.0,51.0,48.0,41.0,0.0,34.0,43.0
6,200,-1690.873210082393,143.0,0.541025641025641,0.5151515151515151,0.148942059069886,0.9544,6,1,0,0,0.0,0.0,34.0,209.0,22.0,0.4177215189873418,0.2682926829268293,0.07,cuda,43.0,49.0,37.0,38.0,42.0,47.0,64.0,0.0,42.0,38.0
7,200,-1535.1952589012176,194.0,0.47146401985111663,0.4352517985611511,0.48947847574457015,0.9468,7,1,0,0,0.0,0.0,35.0,243.0,35.0,0.4362017804154303,0.6811594202898551,0.0,cuda,38.0,45.0,38.0,39.0,50.0,44.0,45.0,0.0,59.0,42.0
8,200,-1489.173434962589,193.0,0.4696321642429427,0.4528301886792453,0.29672202971282907,0.9392,8,1,0,0,0.0,0.0,34.0,236.0,29.0,0.5703703703703704,0.7647058823529411,0.0,cuda,48.0,50.0,35.0,42.0,44.0,45.0,40.0,0.0,62.0,34.0
9,200,-1637.8954176710686,169.0,0.5207100591715976,0.46886446886446886,0.1791725479125498,0.9316,9,1,0,0,0.0,0.0,37.0,225.0,48.0,0.519650655021834,0.5952380952380952,0.0175,cuda,45.0,43.0,37.0,46.0,45.0,40.0,38.0,0.0,64.0,42.0
10,200,-1472.2569400267687,194.0,0.464041095890411,0.4384057971014493,0.46122549019607845,0.924,10,1,1,0,103.65982818603516,0.14717294311523438,33.0,247.0,29.0,0.5563380281690141,0.6792452830188679,0.0125,cuda,49.0,42.0,38.0,45.0,31.0,45.0,47.0,0.0,62.0,41.0
