scenario_name,policy_name,total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,energy_efficiency,jamming_failure_rate,collision_count,fairness_index,invalid_action_rate,out_of_coverage_action_rate,insufficient_energy_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_backscatter,mode_usage_active
scenario_0_no_jammer_calibrated,backscatter_only,-807.5475504651266,109.73333333333333,0.5486666666666667,0.22407018725324532,0.603107993323943,14.859833333333334,19.635741724006138,0.0,0.0,0.2723181842742086,0.0,0.0,0.0,0.0,109.73333333333333,0.0,0.9978894406211997,0.0,0.6,109.96666666666667,0.0
scenario_0_no_jammer_calibrated,greedy_nearest,-705.3627579896108,134.6,0.673,0.27459873701726495,0.5525329542804231,13.796366666666666,6.413194753538068,0.0,0.0,0.3748685338896903,0.0,0.0,0.0,0.0,109.43333333333334,25.166666666666668,0.9966281552259335,1.0,0.6,109.8,14.8
scenario_0_no_jammer_calibrated,greedy_sinr,-619.1295099086219,161.53333333333333,0.8076666666666666,0.3273589161685173,0.4974569710092684,13.733266666666669,4.459719533757363,0.0,0.0,0.5330504228979991,0.0,0.0,0.0,0.0,109.3,52.233333333333334,0.9968968303351805,1.0,0.6,109.63333333333334,28.5
scenario_0_no_jammer_calibrated,htt_only,-693.7643537192606,148.2,0.741,0.2983451345603811,0.5395535121568256,14.0756,1.6329881664351833,0.0,0.0,0.4353087040934146,0.0,0.0,0.0,0.0,0.0,148.2,0.0,1.0,73.59335080586519,0.0,80.33333333333333
scenario_0_no_jammer_calibrated,random,-1021.7456298606623,43.9,0.2195,0.08926762201322484,0.7088602867305631,17.46036666666667,0.9964995506334362,0.0,0.0,0.5965221509971191,0.008166666666666668,0.008166666666666668,0.0,0.0,14.2,29.7,0.9987179487179486,1.0,15.666666666666666,14.766666666666667,15.566666666666666
scenario_1_multi_uav_calibrated,backscatter_only,-1322.678684946388,216.76666666666668,1.0838333333333334,0.21779475746350008,0.6072779391643491,15.026733333333334,19.683939480944414,0.0,0.0,0.2651338246486507,0.0,0.0,0.0,0.0,216.76666666666668,0.0,0.9985975668252792,0.0,1.0666666666666667,217.06666666666666,0.0
scenario_1_multi_uav_calibrated,greedy_nearest,-1167.6572649832779,261.8666666666667,1.3093333333333335,0.26292652805903594,0.5636976970703851,14.120049999999999,6.484656937577387,0.0,0.0,0.35565132027376295,0.0,0.0,0.0,0.0,214.13333333333333,47.733333333333334,0.9984094763755215,1.0,1.0666666666666667,214.46666666666667,28.266666666666666
scenario_1_multi_uav_calibrated,greedy_sinr,-993.1108301921782,323.3333333333333,1.6166666666666667,0.3236316683243131,0.4999985992943128,13.979516666666665,4.429379703293299,0.0,4.466666666666667,0.5494549395644803,0.001,0.0,0.26666666666666666,0.0,219.46666666666667,103.86666666666666,0.9983123821078339,1.0,1.0666666666666667,219.83333333333334,57.266666666666666
scenario_1_multi_uav_calibrated,htt_only,-1080.451922337012,303.6,1.518,0.30279389508095805,0.5387185648735036,13.950516666666665,1.636805580619778,0.0,0.0,0.4368833867855985,0.0004166666666666667,0.0,0.0,0.0,0.0,303.6,0.0,1.0,145.89109775503943,0.0,164.8
scenario_1_multi_uav_calibrated,random,-1698.7951462097747,90.06666666666666,0.4503333333333333,0.09045980221935251,0.7105763311912455,17.50998333333335,1.0477345479670115,0.0,0.7,0.6853175525350376,0.007666666666666667,0.007583333333333333,0.0,0.0,30.7,59.36666666666667,1.0,0.9986111111111111,30.112347126865476,31.933333333333334,30.9
scenario_2a_static_jammer_weak,backscatter_only,-1899.707376852572,62.0,0.31,0.062235544446927915,0.7384675576645865,17.529183333333346,5.658731451621805,0.4865303661085359,0.0,0.15358537497265493,0.0,0.0,0.0,0.4865303661085359,62.0,0.0,0.2849210525622115,0.0,1.0666666666666667,217.5,0.0
