episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,replay_size,updates_per_episode,train_steps,target_update_count,avg_loss,avg_q_tot,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,backscatter_success_rate,active_success_rate,fallback_rate,device,high_level_action_0_count,high_level_action_1_count,high_level_action_2_count,high_level_action_3_count,high_level_action_4_count,high_level_action_5_count,high_level_action_6_count,high_level_action_7_count,high_level_action_8_count,high_level_action_9_count
1,200,-1619.4832423382843,139.0,0.4956063268892794,0.5481481481481482,0.2389290793297471,0.9924,1,1,0,0,0.0,0.0,22.0,245.0,25.0,0.49230769230769234,0.23404255319148937,0.0625,cuda,32.0,47.0,49.0,40.0,39.0,35.0,41.0,35.0,41.0,41.0
2,200,-1445.1654237561468,210.0,0.4552364864864865,0.44565217391304346,0.3830119854090672,0.9848,2,1,0,0,0.0,0.0,30.0,243.0,33.0,0.478494623655914,0.5161290322580645,0.03,cuda,35.0,34.0,47.0,35.0,48.0,40.0,37.0,41.0,51.0,32.0
3,200,-1830.098857722681,185.0,0.5347758887171561,0.5454545454545454,0.2968214734833702,0.9772,3,1,0,0,0.0,0.0,31.0,230.0,34.0,0.44144144144144143,0.6229508196721312,0.005,cuda,36.0,43.0,34.0,43.0,48.0,40.0,39.0,36.0,41.0,40.0
4,200,-1604.4741962147154,202.0,0.4812150279776179,0.4576271186440678,0.4204430705821741,0.9696,4,1,0,0,0.0,0.0,34.0,258.0,37.0,0.45454545454545453,0.6,0.005,cuda,45.0,34.0,50.0,35.0,51.0,41.0,33.0,32.0,36.0,43.0
5,200,-1610.9042460447733,177.0,0.5148430873621713,0.5054545454545455,0.1841311822269241,0.962,5,1,0,0,0.0,0.0,32.0,251.0,24.0,0.5197368421052632,0.4634146341463415,0.095,cuda,38.0,30.0,46.0,40.0,62.0,38.0,31.0,32.0,40.0,43.0
6,200,-1497.322632850613,200.0,0.4628857381150959,0.4425087108013937,0.4510599909788002,0.9544,6,1,0,0,0.0,0.0,26.0,252.0,36.0,0.45098039215686275,0.5652173913043478,0.0375,cuda,35.0,29.0,47.0,44.0,52.0,33.0,35.0,42.0,44.0,39.0
7,200,-1528.9523618535638,188.0,0.4666666666666667,0.49110320284697506,0.35646999495713566,0.9468,7,1,0,0,0.0,0.0,37.0,256.0,25.0,0.5180722891566265,0.35555555555555557,0.0275,cuda,31.0,35.0,30.0,36.0,62.0,41.0,38.0,52.0,41.0,34.0
8,200,-1534.870269100586,194.0,0.4763092269326683,0.4586206896551724,0.28648854380756644,0.9392,8,1,0,0,0.0,0.0,28.0,247.0,45.0,0.5708812260536399,0.5172413793103449,0.01,cuda,42.0,30.0,48.0,33.0,69.0,36.0,47.0,34.0,33.0,28.0
9,200,-1461.5547479920865,191.0,0.45689655172413796,0.4722222222222222,0.499090225049593,0.9316,9,1,0,0,0.0,0.0,27.0,255.0,33.0,0.5434782608695652,0.6949152542372882,0.02,cuda,42.0,33.0,41.0,35.0,63.0,37.0,39.0,34.0,44.0,32.0
10,200,-1485.0951250021885,205.0,0.46527196652719666,0.46545454545454545,0.3026538475387995,0.924,10,1,1,0,97.89839172363281,0.05467522811889648,28.0,242.0,34.0,0.5925925925925926,0.47540983606557374,0.02,cuda,36.0,39.0,35.0,34.0,69.0,35.0,43.0,37.0,34.0,38.0
11,200,-1631.6338635115173,180.0,0.4885245901639344,0.47586206896551725,0.36897847625555175,0.9164,11,1,2,0,94.11575317382812,-0.2059817921031605,27.0,255.0,36.0,0.41388888888888886,0.4626865671641791,0.04,cuda,29.0,34.0,36.0,45.0,77.0,30.0,32.0,44.0,38.0,35.0
12,200,-1542.8996043671361,166.0,0.47904191616766467,0.4782608695652174,0.5791509037410677,0.9088,12,1,3,0,89.9036865234375,-0.42999766031901043,34.0,219.0,34.0,0.532258064516129,0.53125,0.0075,cuda,38.0,35.0,35.0,33.0,60.0,49.0,37.0,45.0,35.0,33.0
13,200,-1581.3385977083406,207.0,0.4878246753246753,0.45692883895131087,0.3363475803602967,0.9012,13,1,4,0,85.99950408935547,-0.6670677771935096,34.0,234.0,33.0,0.5100286532951289,0.4461538461538462,0.02,cuda,31.0,33.0,38.0,36.0,65.0,43.0,35.0,45.0,41.0,33.0
14,200,-1503.7148489553433,209.0,0.458298926507019,0.445993031358885,0.4961776566138468,0.8936,14,1,5,0,81.75609588623047,-0.9026944405691965,15.0,258.0,29.0,0.5301204819277109,0.6,0.005,cuda,37.0,33.0,43.0,30.0,81.0,17.0,43.0,40.0,33.0,43.0
15,200,-1654.5472815588548,181.0,0.5028340080971659,0.47126436781609193,0.39544933309191865,0.886,15,1,6,0,78.65980529785156,-1.134125,24.0,232.0,29.0,0.568904593639576,0.37037037037037035,0.04,cuda,44.0,35.0,50.0,32.0,75.0,31.0,29.0,36.0,30.0,38.0
16,200,-1847.3294052626,115.0,0.5339966832504146,0.6566037735849056,0.47580500089944233,0.8784,16,1,7,0,76.38544464111328,-1.3541653442382813,23.0,232.0,34.0,0.3458646616541353,0.3709677419354839,0.085,cuda,33.0,37.0,33.0,38.0,85.0,32.0,36.0,40.0,35.0,31.0
17,200,-1647.5721901531188,165.0,0.49173553719008267,0.49110320284697506,0.45984291867240945,0.8708,17,1,8,0,73.50707244873047,-1.5869117736816407,27.0,246.0,36.0,0.4714285714285714,0.532258064516129,0.035,cuda,35.0,40.0,30.0,44.0,77.0,34.0,33.0,32.0,43.0,32.0
18,200,-1584.3882828075548,195.0,0.48841059602649006,0.5161290322580645,0.2582781456953642,0.8632,18,1,9,0,69.31849670410156,-1.859580078125,29.0,250.0,29.0,0.49056603773584906,0.23636363636363636,0.035,cuda,42.0,41.0,34.0,30.0,61.0,36.0,32.0,63.0,28.0,33.0
19,200,-1656.3312894158807,166.0,0.49794238683127573,0.4904214559386973,0.4308317698561601,0.8556,19,1,10,0,67.30052947998047,-2.1207650756835936,33.0,215.0,46.0,0.4154929577464789,0.5454545454545454,0.0225,cuda,41.0,28.0,40.0,26.0,84.0,41.0,29.0,53.0,28.0,30.0
20,200,-1548.8687181617454,198.0,0.4696223316912972,0.4709897610921502,0.4238728511190399,0.848,20,1,11,0,63.186458587646484,-2.398905029296875,21.0,262.0,31.0,0.57,0.48214285714285715,0.035,cuda,36.0,36.0,33.0,44.0,87.0,31.0,30.0,34.0,34.0,35.0
21,200,-1628.0735713186782,185.0,0.4815119145439606,0.5136986301369864,0.3483992467043315,0.8404,21,1,12,0,59.88032150268555,-2.6988287353515625,34.0,263.0,29.0,0.40934065934065933,0.6428571428571429,0.02,cuda,27.0,40.0,35.0,32.0,89.0,42.0,30.0,40.0,33.0,32.0
22,200,-1668.7425151307148,164.0,0.5036794766966476,0.47470817120622566,0.36985698569856984,0.8328,22,1,13,0,56.56167984008789,-3.0286083984375,33.0,218.0,40.0,0.5450643776824035,0.5362318840579711,0.055,cuda,46.0,33.0,37.0,31.0,87.0,37.0,34.0,34.0,31.0,30.0
23,200,-1539.54587621353,198.0,0.4677685950413223,0.475177304964539,0.553259949195597,0.8252,23,1,14,0,51.53669357299805,-3.4020034790039064,34.0,250.0,32.0,0.5376712328767124,0.7192982456140351,0.0675,cuda,31.0,28.0,30.0,28.0,111.0,42.0,34.0,34.0,32.0,30.0
24,200,-1638.1657895314293,179.0,0.4918032786885246,0.4911660777385159,0.5153357458785686,0.8176,24,1,15,0,47.19733428955078,-3.8885784912109376,32.0,244.0,39.0,0.5433962264150943,0.5147058823529411,0.105,cuda,29.0,34.0,43.0,30.0,100.0,38.0,26.0,26.0,33.0,41.0
25,200,-1652.4014276713983,160.0,0.5054667788057191,0.5054151624548736,0.26927527085305564,0.81,25,1,16,0,42.4024772644043,-4.336705017089844,33.0,251.0,26.0,0.3956043956043956,0.3333333333333333,0.1275,cuda,28.0,31.0,60.0,33.0,84.0,43.0,29.0,28.0,37.0,27.0
26,200,-1724.8968236976273,145.0,0.5004269854824936,0.6577181208053692,0.4210473615700411,0.8024,26,1,17,0,40.89472579956055,-4.745418090820312,26.0,270.0,30.0,0.3773006134969325,0.46808510638297873,0.03,cuda,31.0,27.0,35.0,32.0,109.0,32.0,32.0,35.0,41.0,26.0
27,200,-1670.919698547884,153.0,0.506265664160401,0.5149253731343284,0.3120575884823035,0.7948,27,1,18,0,36.306209564208984,-5.40212158203125,38.0,226.0,42.0,0.4981132075471698,0.2625,0.09,cuda,28.0,34.0,30.0,29.0,96.0,44.0,39.0,47.0,25.0,28.0
28,200,-1534.4569623465857,189.0,0.46864406779661016,0.4768211920529801,0.3601088764554665,0.7872,28,1,19,0,32.0277214050293,-5.976650390625,27.0,270.0,32.0,0.49226006191950467,0.4838709677419355,0.0025,cuda,28.0,22.0,25.0,36.0,121.0,35.0,37.0,34.0,32.0,30.0
29,200,-1545.8402653455203,199.0,0.4837905236907731,0.4489051094890511,0.32286494639435814,0.7796,29,1,20,0,30.649686813354492,-6.612745361328125,33.0,244.0,31.0,0.5232198142414861,0.5263157894736842,0.0575,cuda,49.0,34.0,35.0,27.0,100.0,37.0,28.0,25.0,34.0,31.0
30,200,-1707.2934903518956,163.0,0.5068714632174616,0.5337837837837838,0.3351497950173447,0.772,30,1,21,0,28.562423706054688,-7.200111694335938,21.0,263.0,33.0,0.4791666666666667,0.4032258064516129,0.075,cuda,45.0,36.0,35.0,19.0,129.0,28.0,28.0,26.0,26.0,28.0
31,200,-1487.8817884010195,227.0,0.4634551495016611,0.4664429530201342,0.3160028209609665,0.7644,31,1,22,0,27.421802520751953,-8.076596069335938,25.0,265.0,34.0,0.6056782334384858,0.5833333333333334,0.045,cuda,32.0,34.0,30.0,32.0,113.0,31.0,33.0,26.0,30.0,39.0
32,200,-1548.747046310665,200.0,0.471169686985173,0.49324324324324326,0.41485169052063886,0.7568,32,1,23,0,27.838523864746094,-8.783823852539063,24.0,262.0,34.0,0.5384615384615384,0.4032258064516129,0.095,cuda,27.0,30.0,29.0,35.0,135.0,31.0,26.0,26.0,26.0,35.0
33,200,-1421.991158247099,208.0,0.4392764857881137,0.47278911564625853,0.7250544662309368,0.7492,33,1,24,0,28.9559383392334,-9.283367919921876,23.0,255.0,39.0,0.5743944636678201,0.5675675675675675,0.05,cuda,32.0,27.0,29.0,36.0,129.0,29.0,31.0,28.0,33.0,26.0
34,200,-1584.161335007361,182.0,0.47956630525437866,0.48333333333333334,0.2808070532383859,0.7416,34,1,25,0,28.94829559326172,-9.754960327148437,27.0,255.0,45.0,0.43564356435643564,0.5747126436781609,0.065,cuda,32.0,28.0,27.0,22.0,130.0,33.0,23.0,46.0,27.0,32.0
35,200,-1652.7646437522462,154.0,0.5051457975986278,0.5871886120996441,0.2620262954369683,0.734,35,1,26,0,28.265365600585938,-9.886064453125,18.0,259.0,23.0,0.42517006802721086,0.6590909090909091,0.215,cuda,30.0,24.0,37.0,28.0,112.0,24.0,28.0,72.0,21.0,24.0
