total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,episode_id,policy_name,scenario_name
-709.8178141481783,128.0,0.64,0.26666666666666666,0.5604166666666667,13.822999999999986,21.598437499999978,6.384039900249381,6.0499999999999865,14.0,20.049999999999986,0.0,0.0,0.3207517619420517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,22.0,107.0,22.0,0.9906542056074766,1.0,0.0,79.0,0.0,107.0,14.0,0.0,0.0,0.0,128.0,6.0,0.0,0.0,24.0,98.0,11,greedy_nearest,scenario_0_no_jammer_calibrated
-670.329484916907,143.0,0.715,0.2972972972972973,0.5301455301455301,13.958000000000006,19.52167832167833,6.847726718478674,6.882842712474603,14.0,20.882842712474602,0.0,0.0,0.3481569762492551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,26.0,117.0,26.0,1.0,1.0,1.0,68.0,1.0,117.0,14.0,0.0,0.0,0.0,143.0,103.0,33.0,0.0,7.0,0.0,12,greedy_nearest,scenario_0_no_jammer_calibrated
-753.6745042625854,136.0,0.68,0.265625,0.576171875,13.775999999999996,20.258823529411757,7.431693989071044,6.299999999999986,12.0,18.299999999999986,0.0,0.0,0.3631651286078932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,22.0,114.0,22.0,1.0,1.0,0.0,74.0,0.0,114.0,12.0,0.0,0.0,0.0,136.0,39.0,0.0,4.0,0.0,93.0,13,greedy_nearest,scenario_0_no_jammer_calibrated
-700.3579852997098,129.0,0.645,0.27044025157232704,0.549266247379455,14.16799999999999,21.9658914728682,6.316017045510888,6.424264068711914,14.0,20.424264068711913,0.0,0.0,0.34694047743146045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,24.0,106.0,24.0,0.9905660377358491,1.0,0.0,80.0,0.0,106.0,14.0,0.0,0.0,0.0,129.0,0.0,94.0,26.0,9.0,0.0,14,greedy_nearest,scenario_0_no_jammer_calibrated
-774.7349914177902,124.0,0.62,0.24603174603174602,0.5753968253968254,14.907999999999989,24.045161290322564,6.00484261501211,5.649999999999988,15.0,20.649999999999988,0.0,0.0,0.3593362935265249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,26.0,98.0,26.0,1.0,1.0,0.0,87.0,0.0,98.0,15.0,0.0,0.0,0.0,124.0,0.0,89.0,21.0,14.0,0.0,15,greedy_nearest,scenario_0_no_jammer_calibrated
-680.3251614446764,139.0,0.695,0.2785571142284569,0.533066132264529,13.557000000000007,19.506474820143897,5.295238095238098,6.249999999999986,20.0,26.249999999999986,0.0,0.0,0.4549864594371836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,34.0,105.0,34.0,1.0,1.0,0.0,75.0,0.0,105.0,20.0,0.0,0.0,0.0,139.0,5.0,16.0,0.0,84.0,34.0,16,greedy_nearest,scenario_0_no_jammer_calibrated
-664.6199675448288,138.0,0.69,0.28336755646817247,0.5256673511293635,13.604000000000001,19.71594202898551,5.219084032615631,6.441421356237295,20.0,26.441421356237296,0.0,0.0,0.451922164214523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,35.0,104.0,35.0,0.9903846153846154,1.0,2.0,74.0,2.0,104.0,20.0,0.0,0.0,0.0,138.0,37.0,83.0,11.0,7.0,0.0,17,greedy_nearest,scenario_0_no_jammer_calibrated
-735.155166221878,126.0,0.63,0.26141078838174275,0.5684647302904564,14.418000000000005,22.885714285714293,6.617153081312749,6.041421356237296,13.0,19.041421356237297,0.0,0.0,0.32046830843762614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,22.0,104.0,22.0,1.0,1.0,1.0,82.0,1.0,104.0,13.0,0.0,0.0,0.0,126.0,0.0,4.0,0.0,96.0,26.0,18,greedy_nearest,scenario_0_no_jammer_calibrated
-748.4874713425011,122.0,0.61,0.25102880658436216,0.5843621399176955,14.014999999999992,22.97540983606556,5.922330097087382,5.599999999999988,15.0,20.599999999999987,0.0,0.0,0.36205302846022863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,26.0,96.0,26.0,1.0,1.0,1.0,88.0,1.0,96.0,15.0,0.0,0.0,0.0,122.0,0.0,0.0,31.0,6.0,85.0,19,greedy_nearest,scenario_0_no_jammer_calibrated
-713.9090881616949,133.0,0.665,0.27422680412371137,0.554639175257732,14.202,21.356390977443606,7.885834263412419,6.865685424949222,10.0,16.86568542494922,0.0,0.0,0.34079568442346597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,18.0,115.0,18.0,1.0,1.0,1.0,74.0,1.0,115.0,10.0,0.0,0.0,0.0,133.0,3.0,0.0,0.0,96.0,34.0,20,greedy_nearest,scenario_0_no_jammer_calibrated
-794.5814770922444,130.0,0.65,0.2480916030534351,0.5954198473282443,13.957999999999997,21.473846153846146,6.467661691542292,6.099999999999986,14.0,20.099999999999987,0.0,0.0,0.33820292175305183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,23.0,107.0,23.0,1.0,1.0,1.0,78.0,1.0,107.0,14.0,0.0,0.0,0.0,130.0,0.0,22.0,10.0,1.0,97.0,21,greedy_nearest,scenario_0_no_jammer_calibrated
-648.8997250606349,147.0,0.735,0.30246913580246915,0.5205761316872428,13.386999999999999,18.21360544217687,6.72768878718536,6.849999999999984,15.0,21.849999999999984,0.0,0.0,0.3932841932841933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,25.0,122.0,25.0,1.0,1.0,0.0,63.0,0.0,122.0,15.0,0.0,0.0,0.0,147.0,93.0,6.0,48.0,0.0,0.0,22,greedy_nearest,scenario_0_no_jammer_calibrated
-755.2552417179363,142.0,0.71,0.27151051625239003,0.5678776290630975,13.978,19.687323943661973,6.8932038834951515,6.5999999999999845,14.0,20.599999999999984,0.0,0.0,0.3120879120879121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,24.0,118.0,24.0,1.0,1.0,0.0,68.0,0.0,118.0,14.0,0.0,0.0,0.0,142.0,3.0,0.0,4.0,111.0,24.0,23,greedy_nearest,scenario_0_no_jammer_calibrated
-685.2625087327983,129.0,0.645,0.2698744769874477,0.5271966527196653,14.515999999999995,22.505426356589137,5.823927765237024,6.149999999999986,16.0,22.149999999999984,0.0,0.0,0.3773897267263862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,25.0,106.0,25.0,0.9811320754716981,1.0,1.0,77.0,1.0,106.0,16.0,0.0,0.0,0.0,129.0,89.0,0.0,13.0,0.0,27.0,24,greedy_nearest,scenario_0_no_jammer_calibrated
-725.0165697541727,123.0,0.615,0.2611464968152866,0.5711252653927813,14.345000000000002,23.325203252032523,6.8940695667724725,5.841421356237297,12.0,17.841421356237298,0.0,0.0,0.32103978779840847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,21.0,102.0,21.0,1.0,1.0,0.0,86.0,0.0,102.0,12.0,0.0,0.0,0.0,123.0,2.0,24.0,94.0,3.0,0.0,25,greedy_nearest,scenario_0_no_jammer_calibrated
-696.1745025359801,144.0,0.72,0.2903225806451613,0.5463709677419355,13.686000000000002,19.008333333333336,7.510066591550474,7.174264068711912,12.0,19.174264068711913,0.0,0.0,0.3618216716105392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,22.0,122.0,22.0,1.0,1.0,1.0,65.0,1.0,122.0,12.0,0.0,0.0,0.0,144.0,3.0,0.0,43.0,0.0,98.0,26,greedy_nearest,scenario_0_no_jammer_calibrated
-752.3336713009012,123.0,0.615,0.25308641975308643,0.5637860082304527,15.212999999999989,24.73658536585364,6.431620038191852,6.124264068711915,13.0,19.124264068711916,0.0,0.0,0.2998513526905163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,22.0,101.0,22.0,1.0,1.0,0.0,86.0,0.0,101.0,13.0,0.0,0.0,0.0,123.0,0.0,0.0,11.0,13.0,99.0,27,greedy_nearest,scenario_0_no_jammer_calibrated
-717.4486135179579,123.0,0.615,0.2578616352201258,0.5660377358490566,13.871999999999993,22.556097560975598,6.428736275545925,6.132842712474606,13.0,19.132842712474606,0.0,0.0,0.3471944922547332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,21.0,103.0,21.0,0.9902912621359223,1.0,1.0,83.0,1.0,103.0,13.0,0.0,0.0,0.0,123.0,88.0,3.0,0.0,1.0,31.0,28,greedy_nearest,scenario_0_no_jammer_calibrated
-714.8689888170373,123.0,0.615,0.2578616352201258,0.570230607966457,13.526999999999996,21.995121951219506,6.442684266659646,6.091421356237297,13.0,19.091421356237298,0.0,0.0,0.37176557316623665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,19.0,105.0,19.0,0.9904761904761905,1.0,1.0,81.0,1.0,105.0,13.0,0.0,0.0,0.0,123.0,0.0,83.0,5.0,35.0,0.0,29,greedy_nearest,scenario_0_no_jammer_calibrated
