episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,replay_size,updates_per_episode,train_steps,target_update_count,avg_loss,avg_q_tot,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,backscatter_success_rate,active_success_rate,fallback_rate,device,high_level_action_0_count,high_level_action_1_count,high_level_action_2_count,high_level_action_3_count,high_level_action_4_count,high_level_action_5_count,high_level_action_6_count,high_level_action_7_count,high_level_action_8_count,high_level_action_9_count
1,200,-1543.1290314693724,180.0,0.4765494137353434,0.44150943396226416,0.5738575982996812,0.9924,1,1,0,0,0.0,0.0,27.0,238.0,29.0,0.4792332268370607,0.6,0.0025,cuda,43.0,45.0,39.0,40.0,47.0,36.0,37.0,43.0,34.0,36.0
2,200,-1699.5608278432571,176.0,0.5140562248995983,0.4782608695652174,0.27906306306306305,0.9848,2,1,0,0,0.0,0.0,39.0,247.0,30.0,0.5,0.6538461538461539,0.015,cuda,36.0,52.0,45.0,34.0,31.0,49.0,44.0,36.0,35.0,38.0
3,200,-1516.412785346471,167.0,0.4841549295774648,0.4846153846153846,0.22376539495326353,0.9772,3,1,0,0,0.0,0.0,33.0,234.0,26.0,0.5264900662251656,0.18181818181818182,0.0325,cuda,42.0,42.0,48.0,44.0,28.0,41.0,36.0,38.0,39.0,42.0
4,200,-1563.7921109879926,215.0,0.4828990228013029,0.45878136200716846,0.3371995477258635,0.9696,4,1,0,0,0.0,0.0,37.0,249.0,31.0,0.4730077120822622,0.5254237288135594,0.0025,cuda,36.0,34.0,43.0,42.0,41.0,50.0,43.0,41.0,31.0,39.0
5,200,-1717.659810309375,214.0,0.5145705521472392,0.4453125,0.29762786768050953,0.962,5,1,0,0,0.0,0.0,32.0,227.0,29.0,0.5254237288135594,0.5,0.02,cuda,34.0,33.0,46.0,33.0,43.0,38.0,54.0,45.0,46.0,28.0
6,200,-1622.024990825619,168.0,0.48754152823920266,0.5197132616487455,0.4682926829268293,0.9544,6,1,0,0,0.0,0.0,31.0,241.0,39.0,0.3611940298507463,0.6351351351351351,0.0025,cuda,36.0,35.0,57.0,38.0,32.0,43.0,38.0,38.0,41.0,42.0
7,200,-1687.7271700262775,154.0,0.5391743892165122,0.5063829787234042,0.169970615638214,0.9468,7,1,0,0,0.0,0.0,25.0,219.0,16.0,0.5416666666666666,0.39285714285714285,0.11,cuda,47.0,61.0,47.0,34.0,31.0,27.0,50.0,30.0,29.0,44.0
8,200,-1440.6472692975976,251.0,0.4520884520884521,0.47151898734177217,0.3016639134286193,0.9392,8,1,0,0,0.0,0.0,27.0,294.0,22.0,0.5907928388746803,0.5,0.0475,cuda,26.0,47.0,52.0,41.0,47.0,37.0,30.0,34.0,46.0,40.0
9,200,-1438.944432075789,210.0,0.4575107296137339,0.4601449275362319,0.3059313215400624,0.9316,9,1,0,0,0.0,0.0,33.0,238.0,38.0,0.5089820359281437,0.5970149253731343,0.0025,cuda,40.0,32.0,58.0,28.0,38.0,42.0,35.0,39.0,30.0,58.0
10,200,-1574.7566948887286,176.0,0.4802686817800168,0.4913494809688581,0.3782173382173382,0.924,10,1,1,0,100.6050033569336,-0.32057891845703124,34.0,247.0,42.0,0.5458015267175572,0.4177215189873418,0.0025,cuda,29.0,40.0,61.0,28.0,39.0,43.0,35.0,41.0,43.0,41.0
