total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,episode_id,policy_name,scenario_name,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,per_iot_delivered_packets_iot_10,per_iot_delivered_packets_iot_11,per_iot_delivered_packets_iot_12,per_iot_delivered_packets_iot_13,per_iot_delivered_packets_iot_14
-2186.394506087535,168.0,0.84,0.13526570048309178,0.785024154589372,18.651999999999983,22.204761904761884,1.7872340425531914,10.000000000000007,84.0,94.0,0.0,0.0,0.20481857764876632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,168.0,0.0,1.0,86.64314966995587,0.0,116.0,0.0,84.0,0.0,0.0,0.0,168.0,0.0,166.0,0.0,0.0,2.0,1,htt_only,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-2111.2472675847994,142.0,0.71,0.12220309810671257,0.7943201376936316,18.809999999999995,26.49295774647887,1.7530864197530864,10.000000000000007,71.0,81.0,0.0,0.0,0.20571311977147522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,142.0,0.0,1.0,75.50973796130451,0.0,129.0,0.0,71.0,0.0,0.0,0.0,142.0,140.0,0.0,0.0,2.0,0.0,2,htt_only,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-2290.198499999999,116.0,0.58,0.09563066776586975,0.8227535037098104,18.915000000000024,32.61206896551729,19.829059829059872,5.849999999999987,0.0,5.849999999999987,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,116.0,0.0,1.0,0.0,1.0,83.0,1.0,116.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,116.0,0.0,0.0,0,backscatter_only,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-2312.0099999999993,99.0,0.495,0.08263772954924875,0.8347245409015025,18.972000000000026,38.32727272727278,19.80000000000004,4.99999999999999,0.0,4.99999999999999,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,99.0,0.0,1.0,0.0,1.0,100.0,1.0,99.0,0.0,0.0,0.0,0.0,99.0,0.0,99.0,0.0,0.0,0.0,1,backscatter_only,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-2144.76,118.0,0.59,0.10314685314685315,0.8103146853146853,18.85100000000002,31.950847457627155,19.66666666666671,5.999999999999987,0.0,5.999999999999987,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,119.0,0.0,0.9915966386554622,0.0,1.0,80.0,1.0,119.0,0.0,0.0,0.0,0.0,118.0,118.0,0.0,0.0,0.0,0.0,2,backscatter_only,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-4597.400252397858,61.0,0.305,0.02554438860971524,0.8907035175879398,19.069000000000017,62.521311475409895,0.8092925542472589,54.37447327281722,21.0,75.37447327281723,0.0,0.0,0.5323319027181688,0.0,4.0,0.01,4.0,0.01,0.0,0.0,0.0,0.0,0.0,19.0,42.0,19.0,42.0,1.0,1.0,27.0,165.0,28.0,22.0,21.0,164.0,0.0,0.0,18.0,0.0,0.0,11.0,2.0,17.0,0,random,scenario_1_multi_uav_calibrated,43.0,13.0,6.0,0.0,8.0,4.0,,,,,
-4714.9320331123545,63.0,0.315,0.025714285714285714,0.893061224489796,19.10500000000001,60.65079365079369,0.8354953182642333,56.40437226013952,19.0,75.40437226013952,0.0,0.0,0.6022761760242791,1.0,2.0,0.005,2.0,0.005,0.0,0.0,0.0,0.0,0.0,25.0,38.0,25.0,38.0,1.0,1.0,23.0,148.0,24.0,26.0,19.0,183.0,0.0,0.0,37.0,10.0,15.0,6.0,0.0,12.0,1,random,scenario_1_multi_uav_calibrated,26.0,0.0,3.0,0.0,8.0,9.0,,,,,
-4678.370041506938,65.0,0.325,0.026726973684210526,0.8910361842105263,19.122500000000016,58.83846153846159,0.8993676577930181,54.273001410241065,18.0,72.27300141024106,0.0,0.0,0.49531066822977715,0.0,5.0,0.0125,5.0,0.0125,0.0,0.0,0.0,0.0,0.0,29.0,36.0,29.0,36.0,1.0,1.0,19.0,163.0,22.0,29.0,20.0,166.0,0.0,0.0,28.0,5.0,0.0,0.0,8.0,9.0,2,random,scenario_1_multi_uav_calibrated,37.0,9.0,23.0,3.0,0.0,8.0,,,,,
-4031.0610594789177,254.0,1.27,0.10596579057154777,0.8105965790571548,18.478500000000007,14.550000000000006,9.324036241664144,12.241421356237284,15.0,27.241421356237282,0.0,0.0,0.22322330634558163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,28.0,227.0,28.0,0.9955947136563876,1.0,0.0,158.0,0.0,227.0,15.0,0.0,0.0,0.0,127.0,0.0,0.0,121.0,0.0,6.0,0,greedy_nearest,scenario_1_multi_uav_calibrated,127.0,119.0,0.0,0.0,8.0,0.0,,,,,
-4085.8919156923002,267.0,1.335,0.10929185427752763,0.8096602537863283,18.33600000000003,13.734831460674181,8.215384615384622,12.499999999999972,20.0,32.49999999999997,0.0,0.0,0.22184222810020227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,39.0,228.0,39.0,1.0,1.0,2.0,150.0,2.0,228.0,20.0,0.0,0.0,0.0,137.0,11.0,127.0,0.0,0.0,0.0,1,greedy_nearest,scenario_1_multi_uav_calibrated,130.0,0.0,3.0,0.0,126.0,0.0,,,,,
-4056.438739275308,248.0,1.24,0.10333333333333333,0.8145833333333333,18.194000000000017,14.672580645161304,8.378378378378386,11.599999999999975,18.0,29.599999999999973,0.0,0.0,0.21971991997713633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,36.0,212.0,36.0,1.0,1.0,2.0,168.0,2.0,212.0,18.0,0.0,0.0,0.0,126.0,12.0,0.0,0.0,118.0,0.0,2,greedy_nearest,scenario_1_multi_uav_calibrated,122.0,0.0,118.0,0.0,0.0,0.0,,,,,
-3797.7376138089044,332.0,1.66,0.13821815154038303,0.779766860949209,18.331500000000016,11.043072289156637,4.412305345228554,17.24411254969542,58.0,75.24411254969542,0.0,0.0,0.46390572390572393,2.0,1.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,218.0,114.0,219.0,114.0,0.9954337899543378,1.0,0.0,122.0,0.0,219.0,59.0,0.0,0.0,0.0,172.0,14.0,12.0,19.0,10.0,31.0,0,greedy_sinr,scenario_1_multi_uav_calibrated,160.0,24.0,87.0,10.0,117.0,8.0,,,,,
-3814.918138194415,346.0,1.73,0.14209445585215605,0.7757700205338809,18.26650000000001,10.558670520231221,4.264842944236761,17.12842712474618,64.0,81.12842712474618,0.0,0.0,0.6076954314720813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,127.0,220.0,127.0,0.9954545454545455,1.0,2.0,114.0,2.0,220.0,64.0,0.0,0.0,0.0,173.0,15.0,55.0,15.0,10.0,78.0,1,greedy_sinr,scenario_1_multi_uav_calibrated,173.0,8.0,84.0,14.0,49.0,18.0,,,,,
-3814.2174489107465,309.0,1.545,0.12999579301640724,0.7862852334875894,18.39750000000001,11.90776699029127,4.3054291814740875,15.769848480983477,56.0,71.76984848098348,0.0,0.0,0.5525840615776376,1.0,1.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,197.0,112.0,198.0,112.0,0.9949494949494949,1.0,2.0,143.0,2.0,198.0,57.0,0.0,0.0,0.0,159.0,84.0,14.0,8.0,41.0,14.0,2,greedy_sinr,scenario_1_multi_uav_calibrated,150.0,8.0,39.0,14.0,8.0,79.0,,,,,
