scenario_name,policy_name,total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,energy_efficiency,jamming_failure_rate,collision_count,fairness_index,invalid_action_rate,out_of_coverage_action_rate,insufficient_energy_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_backscatter,mode_usage_active
scenario_0_no_jammer_calibrated,backscatter_only,41.55797746833003,7.070742697825353,0.035353713489126776,0.016243315670531187,0.019310705714575237,0.49555243178061376,0.3584132545068447,0.0,0.0,0.0386117683734533,0.0,0.0,0.0,0.0,7.070742697825353,0.0,0.004508130599088763,0.0,0.563241847975046,7.083167678928411,0.0
scenario_0_no_jammer_calibrated,greedy_nearest,47.44639714738948,8.344314603782422,0.04172157301891208,0.01834740836239173,0.022415617901129028,0.6227991586009254,0.7375350959053264,0.0,0.0,0.048661150337451234,0.0,0.0,0.0,0.0,7.868239663501543,4.828673933288826,0.005660745656558644,0.0,0.563241847975046,7.8098081569444355,2.7467849544889558
scenario_0_no_jammer_calibrated,greedy_sinr,40.67404682722459,8.046131361409497,0.040230656807047495,0.019663361420421018,0.02042907866809949,0.5030051026911507,0.2735862636047841,0.0,0.0,0.05341744864165758,0.0,0.0,0.0,0.0,6.56610943431864,4.753824836351528,0.0050570172575525605,0.0,0.563241847975046,6.4352656260764345,2.2856373139749193
scenario_0_no_jammer_calibrated,htt_only,59.9357403106636,14.387254896201565,0.0719362744810078,0.03142724582543935,0.03206971482506215,0.37326745518923643,0.05341535296123992,0.0,0.0,0.06587884346582579,0.0,0.0,0.0,0.0,0.0,14.387254896201565,0.0,0.0,9.905248709199821,0.0,6.691906245263924
scenario_0_no_jammer_calibrated,random,68.20026658304769,17.51521506064626,0.0875760753032313,0.035034627763801354,0.03551309214564247,0.288304614209888,0.27355887771056614,0.0,0.0,0.20748173456387783,0.009142863557058505,0.009142863557058505,0.0,0.0,6.104831325863262,12.540004949677293,0.007022084070579045,0.0,6.121377652768704,6.061087493939961,6.190556397105766
scenario_1_multi_uav_calibrated,backscatter_only,78.57718732490018,15.345859451293386,0.07672929725646697,0.01619476104585769,0.01656013615927052,0.45830284245496133,0.25339521701789336,0.0,0.0,0.02902835471630555,0.0,0.0,0.0,0.0,15.345859451293386,0.0,0.002189364869889534,0.0,1.1426929274467317,15.303669457047702,0.0
scenario_1_multi_uav_calibrated,greedy_nearest,88.7817516150143,19.317195008295222,0.09658597504147612,0.020785856105345786,0.020840811203324754,0.5370484205679062,0.6672736656313737,0.0,0.0,0.0324571663407889,0.0,0.0,0.0,0.0,17.913072347298222,7.35753581937141,0.0023023518780468026,0.0,1.1426929274467317,17.847502159499335,4.217642202359801
scenario_1_multi_uav_calibrated,greedy_sinr,127.97419255173584,16.957011230905565,0.0847850561545278,0.018076099320785213,0.019790121822323467,0.4272509656439385,0.2526240611773032,0.0,22.78797827853512,0.06694596741975574,0.002034190510862431,0.0,0.4497764451088037,0.0,14.13172838425777,8.320035366856752,0.0025368006275044075,0.0,1.1426929274467317,14.081250271030703,4.306637486111599
scenario_1_multi_uav_calibrated,htt_only,87.73373906672,21.05264337567729,0.1052632168783863,0.021628238642145366,0.023676715959516148,0.28353888875563693,0.030200640350528586,0.0,0.0,0.053271506265246,0.0022821773229381925,0.0,0.0,0.0,0.0,21.05264337567729,0.0,0.0,9.847754214894534,0.0,11.496326249779939
scenario_1_multi_uav_calibrated,random,93.94499777537335,20.863982053444076,0.10431991026722041,0.021157888866158464,0.022758454740920468,0.1549727163603095,0.15199995138150837,0.0,1.4656997857914031,0.1281738243352611,0.0047766193017680396,0.004756272325759071,0.0,0.0,8.107680479558915,16.325320577373756,0.0,0.007607257743127295,8.532682881717136,7.943478493375092,8.239308641903865
