episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,device,network_type,reward_processing_mode,reward_processing_scale,replay_size,avg_loss,avg_q,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,invalid_action_rate,backscatter_success_rate,active_success_rate
27,200,-1970.810041318728,33.0,0.6028075970272502,0.5833333333333334,0.4101694915254236,0.916381,cuda,dueling,scale,100.0,10800,0.0003071758933947,-0.0861969375424087,43.0,47.0,13.0,0.0025,0.3768115942028985,0.3043478260869565
28,200,-1948.2870909440087,21.0,0.602866779089376,0.75,0.3919999999999997,0.912581,cuda,dueling,scale,100.0,11200,0.0002933514106553,-0.0904231888242066,42.0,46.0,12.0,0.005,0.2131147540983606,0.4705882352941176
29,200,-1935.778804980893,29.0,0.6014975041597338,0.4761904761904761,0.3482401656314698,0.908781,cuda,dueling,scale,100.0,11600,0.0003403021568374,-0.0976335238665342,19.0,35.0,8.0,0.005,0.5777777777777777,0.2
30,200,-1931.899351518132,18.0,0.6017021276595744,0.7407407407407407,0.5684210526315779,0.904981,cuda,dueling,scale,100.0,12000,0.0003526720898662,-0.0994451512396335,37.0,47.0,7.0,0.005,0.2666666666666666,0.2
31,200,-2006.973658250628,15.0,0.6092436974789915,0.8225806451612904,0.2830188679245279,0.901181,cuda,dueling,scale,100.0,12400,0.0003661487714271,-0.1217623839527368,41.0,42.0,22.0,0.005,0.1129032258064516,0.2105263157894736
32,200,-2042.7374766980752,17.0,0.6239935587761675,0.5666666666666667,0.2639269406392692,0.897381,cuda,dueling,scale,100.0,12800,0.0003263242977845,-0.1234072164818644,18.0,19.0,12.0,0.0025,0.4545454545454545,0.3333333333333333
33,200,-1984.2470852059985,9.0,0.6175,0.7241379310344828,0.1636363636363633,0.893581,cuda,dueling,scale,100.0,13200,0.0003494525268615,-0.1276960057020187,29.0,23.0,6.0,0.0,0.1944444444444444,0.2
34,200,-1892.022349472456,36.0,0.5948203842940685,0.4186046511627907,0.5399999999999998,0.889781,cuda,dueling,scale,100.0,13600,0.0004086924577859,-0.1323731783777475,35.0,36.0,11.0,0.01,0.5555555555555556,0.6470588235294118
35,200,-1899.2191389306824,24.0,0.5941530524505589,0.6140350877192983,0.3047619047619046,0.885981,cuda,dueling,scale,100.0,14000,0.000343198902774,-0.1330354292318225,36.0,47.0,11.0,0.0025,0.3333333333333333,0.2777777777777778
36,200,-1969.2008167934232,27.0,0.6079077429983526,0.4358974358974359,0.2140969162995594,0.882181,cuda,dueling,scale,100.0,14400,0.0003879832933307,-0.1423124979063868,32.0,32.0,9.0,0.005,0.4722222222222222,0.6666666666666666
37,200,-1854.7872374388005,18.0,0.5930434782608696,0.4642857142857143,0.220408163265306,0.878381,cuda,dueling,scale,100.0,14800,0.0004066115713067,-0.1497595434635877,26.0,25.0,4.0,0.005,0.5,0.4
38,200,-1921.5054482100288,38.0,0.5980230642504119,0.4358974358974359,0.4149425287356321,0.874581,cuda,dueling,scale,100.0,15200,0.0004090452416858,-0.1553456733748316,36.0,29.0,14.0,0.0225,0.5909090909090909,0.5217391304347826
39,200,-1749.9743449705088,27.0,0.5714285714285714,0.4722222222222222,0.3446808510638296,0.870781,cuda,dueling,scale,100.0,15600,0.0003739910248259,-0.1557125103101134,26.0,25.0,14.0,0.01,0.5333333333333333,0.6470588235294118
