episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,replay_size,updates_per_episode,train_steps,target_update_count,avg_loss,avg_q_tot,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,backscatter_success_rate,active_success_rate,fallback_rate,device,high_level_action_0_count,high_level_action_1_count,high_level_action_2_count,high_level_action_3_count,high_level_action_4_count,high_level_action_5_count,high_level_action_6_count,high_level_action_7_count,high_level_action_8_count,high_level_action_9_count
20,200,-1553.431161649176,198.0,0.4745065789473684,0.4513888888888889,0.45724282715185444,0.848,20,1,11,0,65.84070587158203,-2.3802471923828126,26.0,257.0,31.0,0.5819397993311036,0.42857142857142855,0.025,cuda,36.0,36.0,33.0,44.0,65.0,31.0,30.0,56.0,34.0,35.0
21,200,-1592.7445920975508,186.0,0.48096026490066224,0.4929078014184397,0.31050080775444266,0.8404,21,1,12,0,60.111385345458984,-2.6630059814453126,36.0,249.0,33.0,0.4273255813953488,0.639344262295082,0.035,cuda,27.0,40.0,35.0,32.0,85.0,42.0,30.0,44.0,33.0,32.0
22,200,-1584.5169556762808,190.0,0.4796416938110749,0.4551971326164875,0.43853255587949463,0.8328,22,1,13,0,58.9894905090332,-3.0038482666015627,28.0,245.0,34.0,0.4967741935483871,0.5806451612903226,0.02,cuda,46.0,33.0,37.0,31.0,82.0,37.0,34.0,38.0,31.0,31.0
23,200,-1519.3069225771776,196.0,0.4646128226477935,0.45985401459854014,0.5656065959952886,0.8252,23,1,14,0,51.61148452758789,-3.36077392578125,37.0,237.0,37.0,0.512280701754386,0.7352941176470589,0.05,cuda,31.0,28.0,31.0,28.0,103.0,42.0,34.0,34.0,32.0,37.0
24,200,-1622.0630610604308,193.0,0.4834276475343573,0.48333333333333334,0.40863364598760354,0.8176,24,1,15,0,49.286582946777344,-3.884465637207031,29.0,268.0,32.0,0.5608108108108109,0.4909090909090909,0.06,cuda,29.0,34.0,43.0,30.0,96.0,38.0,26.0,26.0,33.0,45.0
25,200,-1714.5277978040294,163.0,0.5132231404958678,0.5322033898305085,0.2351967423538264,0.81,25,1,16,0,44.20842742919922,-4.317260131835938,35.0,270.0,25.0,0.37948717948717947,0.3191489361702128,0.0625,cuda,28.0,31.0,74.0,33.0,70.0,43.0,29.0,28.0,37.0,27.0
26,200,-1661.9417944602596,163.0,0.48687552921253174,0.5972696245733788,0.5062208249976183,0.8024,26,1,17,0,39.818565368652344,-4.7459259033203125,28.0,264.0,31.0,0.40752351097178685,0.6111111111111112,0.03,cuda,31.0,27.0,35.0,32.0,109.0,32.0,32.0,35.0,41.0,26.0
27,200,-1639.7432906357708,167.0,0.5075250836120402,0.4684014869888476,0.31003279417486523,0.7948,27,1,18,0,37.56053161621094,-5.40133544921875,34.0,237.0,32.0,0.4369230769230769,0.4098360655737705,0.1375,cuda,28.0,34.0,30.0,29.0,83.0,44.0,39.0,52.0,25.0,36.0
28,200,-1514.5847160344135,187.0,0.46559048428207306,0.4709897610921502,0.3467598790222619,0.7872,28,1,19,0,32.53582000732422,-5.9651861572265625,30.0,258.0,35.0,0.438953488372093,0.5294117647058824,0.03,cuda,28.0,22.0,25.0,36.0,120.0,35.0,37.0,35.0,32.0,30.0
29,200,-1485.9300010063703,190.0,0.47502116850127013,0.40756302521008403,0.3375409069658719,0.7796,29,1,20,0,31.357938766479492,-6.58976806640625,27.0,212.0,27.0,0.5709090909090909,0.673469387755102,0.1025,cuda,64.0,34.0,35.0,27.0,83.0,37.0,28.0,25.0,34.0,33.0
30,200,-1631.7236037432679,188.0,0.49070331447049315,0.494949494949495,0.32058049886621315,0.772,30,1,21,0,29.50432586669922,-7.140958251953125,22.0,263.0,35.0,0.535593220338983,0.45454545454545453,0.075,cuda,45.0,36.0,35.0,19.0,124.0,28.0,28.0,31.0,26.0,28.0
31,200,-1519.7762975816088,221.0,0.47194719471947194,0.47315436241610737,0.3106044707303889,0.7644,31,1,22,0,26.8138370513916,-8.00172607421875,25.0,269.0,30.0,0.5884146341463414,0.5490196078431373,0.085,cuda,32.0,34.0,30.0,32.0,113.0,31.0,33.0,26.0,30.0,39.0
32,200,-1599.3215546878048,176.0,0.48126561199000834,0.5121107266435986,0.39022423784328547,0.7568,32,1,23,0,27.737367630004883,-8.793136596679688,24.0,253.0,36.0,0.468944099378882,0.36764705882352944,0.0975,cuda,27.0,30.0,37.0,35.0,127.0,31.0,26.0,26.0,26.0,35.0
33,200,-1937.7427425291314,67.0,0.5593509820666097,0.7462121212121212,0.40062472110664876,0.7492,33,1,24,0,28.944053649902344,-9.315616455078125,27.0,230.0,36.0,0.2510460251046025,0.11666666666666667,0.005,cuda,46.0,27.0,37.0,36.0,77.0,29.0,31.0,29.0,33.0,55.0
34,200,-1577.858130667937,178.0,0.48113998323554064,0.48014440433212996,0.4595880475776037,0.7416,34,1,25,0,29.179105758666992,-9.794859619140626,29.0,236.0,41.0,0.47333333333333333,0.4675324675324675,0.0975,cuda,64.0,28.0,27.0,22.0,73.0,33.0,23.0,39.0,27.0,64.0
35,200,-1488.996081542858,206.0,0.4743150684931507,0.46,0.24916916211614115,0.734,35,1,26,0,28.1003360748291,-9.8779248046875,16.0,283.0,18.0,0.5736677115987461,0.7931034482758621,0.08,cuda,34.0,24.0,34.0,28.0,73.0,24.0,28.0,55.0,21.0,79.0
36,200,-1544.1401928747784,201.0,0.48573825503355705,0.43911439114391143,0.32979062079098814,0.7264,36,1,27,0,28.432601928710938,-9.908969116210937,16.0,242.0,29.0,0.5337423312883436,0.4909090909090909,0.0775,cuda,74.0,35.0,38.0,34.0,73.0,21.0,26.0,22.0,30.0,47.0
37,200,-1393.887116542994,197.0,0.4416376306620209,0.39928057553956836,0.4094424223242074,0.7188000000000001,37,1,28,0,27.32390785217285,-9.868081665039062,16.0,256.0,22.0,0.5958188153310104,0.65,0.005,cuda,99.0,37.0,23.0,27.0,34.0,26.0,18.0,46.0,28.0,62.0
38,200,-1833.9619465678315,135.0,0.5318805488297014,0.5708661417322834,0.4685692248360972,0.7112,38,1,29,0,27.586950302124023,-9.625548095703126,22.0,224.0,31.0,0.4227941176470588,0.35714285714285715,0.005,cuda,109.0,30.0,30.0,27.0,33.0,25.0,25.0,23.0,28.0,70.0
39,200,-1447.9921435550607,205.0,0.47058823529411764,0.37037037037037035,0.38415832533479594,0.7036,39,1,30,0,25.1811466217041,-9.379241333007812,25.0,220.0,23.0,0.6828358208955224,0.5945945945945946,0.005,cuda,109.0,30.0,30.0,30.0,23.0,30.0,32.0,52.0,31.0,33.0
40,200,-1973.2776622000679,78.0,0.5643564356435643,0.744,0.4251572327044025,0.696,40,1,31,0,24.933122634887695,-9.064117431640625,28.0,228.0,25.0,0.23616236162361623,0.30434782608695654,0.0025,cuda,114.0,23.0,25.0,29.0,34.0,33.0,30.0,32.0,30.0,50.0
41,200,-1975.4503304227185,90.0,0.56645056726094,0.6824034334763949,0.5325443786982248,0.6884,41,1,32,0,24.266050338745117,-9.0186474609375,20.0,208.0,25.0,0.31277533039647576,0.40425531914893614,0.0025,cuda,129.0,24.0,25.0,29.0,37.0,23.0,22.0,49.0,33.0,29.0
42,200,-1497.5168057510555,183.0,0.47231543624161076,0.33783783783783783,0.30231550440081245,0.6808000000000001,42,1,33,0,23.837604522705078,-8.382466430664062,22.0,198.0,24.0,0.6875,0.7073170731707317,0.0075,cuda,149.0,23.0,18.0,32.0,22.0,31.0,35.0,31.0,20.0,39.0
43,200,-1438.2340160858553,208.0,0.45484949832775917,0.3836734693877551,0.4351639509153088,0.6732,43,1,34,0,23.4857120513916,-8.020507202148437,30.0,211.0,34.0,0.5656565656565656,0.6060606060606061,0.015,cuda,80.0,34.0,15.0,26.0,25.0,35.0,32.0,98.0,32.0,23.0
44,200,-1592.3847764540642,181.0,0.49300411522633747,0.3686440677966102,0.44600095296439995,0.6656,44,1,35,0,23.125776290893555,-7.852628173828125,19.0,210.0,27.0,0.5551330798479087,0.6862745098039216,0.005,cuda,120.0,26.0,21.0,35.0,34.0,22.0,26.0,65.0,28.0,23.0
45,200,-2029.4924287415356,69.0,0.578860445912469,0.7366071428571429,0.34688524590163927,0.658,45,1,36,0,24.043123245239258,-7.83704833984375,19.0,204.0,21.0,0.23853211009174313,0.53125,0.005,cuda,144.0,23.0,25.0,34.0,24.0,24.0,30.0,28.0,32.0,36.0
46,200,-1501.126468783174,208.0,0.4677023712183156,0.364,0.3243664717348928,0.6504000000000001,46,1,37,0,22.606670379638672,-7.6283740234375,24.0,224.0,27.0,0.640625,0.88,0.0175,cuda,86.0,30.0,21.0,28.0,23.0,29.0,25.0,101.0,33.0,24.0
47,200,-1857.0152423435532,89.0,0.554177005789909,0.6859903381642513,0.23862027413767134,0.6428,47,1,38,0,21.780855178833008,-7.596065673828125,9.0,196.0,11.0,0.3598130841121495,0.631578947368421,0.28,cuda,20.0,28.0,23.0,26.0,26.0,17.0,32.0,96.0,29.0,103.0
48,200,-1584.1518109074368,188.0,0.4823914823914824,0.44981412639405205,0.3931042153264375,0.6352,48,1,39,0,23.730819702148438,-7.859328002929687,18.0,249.0,20.0,0.5971731448763251,0.5277777777777778,0.0375,cuda,28.0,20.0,19.0,25.0,22.0,30.0,27.0,106.0,25.0,98.0
49,200,-1535.7571691727094,148.0,0.47214854111405835,0.49224806201550386,0.4841732979664014,0.6275999999999999,49,1,40,0,21.274808883666992,-7.773707275390625,28.0,231.0,27.0,0.41216216216216217,0.5416666666666666,0.005,cuda,38.0,26.0,25.0,24.0,24.0,34.0,70.0,100.0,25.0,34.0
50,200,-1520.6077952473856,199.0,0.4640198511166253,0.4220532319391635,0.7235041563898785,0.62,50,1,41,0,22.379663467407227,-7.815296630859375,17.0,233.0,31.0,0.4652567975830816,0.7758620689655172,0.005,cuda,20.0,30.0,20.0,22.0,29.0,22.0,64.0,108.0,28.0,57.0
51,200,-1618.6267243282612,187.0,0.49676898222940225,0.46311475409836067,0.5715289695186728,0.6124,51,1,42,0,19.878488540649414,-8.304378662109375,20.0,212.0,32.0,0.5939849624060151,0.47540983606557374,0.0075,cuda,20.0,21.0,21.0,28.0,24.0,26.0,88.0,115.0,33.0,24.0
52,200,-1374.3021779080836,190.0,0.44752818733738076,0.33962264150943394,0.7849532507066753,0.6048,52,1,43,0,19.412290573120117,-8.459190673828125,18.0,184.0,28.0,0.7207207207207207,0.5454545454545454,0.005,cuda,26.0,20.0,15.0,30.0,21.0,26.0,108.0,102.0,23.0,29.0
53,200,-1439.1889438289845,205.0,0.4557595993322204,0.3534136546184739,0.5237739141272512,0.5972,53,1,44,0,19.56096649169922,-8.660252685546874,17.0,218.0,32.0,0.6507352941176471,0.49122807017543857,0.005,cuda,17.0,19.0,30.0,25.0,28.0,19.0,89.0,104.0,29.0,40.0
54,200,-1870.7898953610197,95.0,0.5747316267547481,0.5411764705882353,0.09772075144821613,0.5896,54,1,45,0,20.022018432617188,-8.943176879882813,15.0,150.0,20.0,0.4,0.6410256410256411,0.0775,cuda,22.0,27.0,23.0,30.0,24.0,19.0,162.0,43.0,28.0,22.0
55,200,-1870.8355823976387,101.0,0.5621970920840065,0.4943181818181818,0.20689585234763208,0.5820000000000001,55,1,46,0,18.875585556030273,-8.68665771484375,15.0,150.0,26.0,0.375609756097561,0.5106382978723404,0.005,cuda,28.0,30.0,26.0,18.0,31.0,21.0,173.0,24.0,19.0,30.0
56,200,-1588.3304575851653,151.0,0.4888888888888889,0.5021097046413502,0.5935441884680464,0.5744,56,1,47,0,19.538280487060547,-8.588507080078125,17.0,212.0,25.0,0.3853503184713376,0.6,0.005,cuda,28.0,23.0,28.0,22.0,28.0,19.0,97.0,75.0,23.0,57.0
57,200,-2085.166742776761,24.0,0.610517666392769,0.8652482269503546,0.20645161290322575,0.5668,57,1,48,0,19.982824325561523,-8.565768432617187,16.0,133.0,8.0,0.13559322033898305,0.0,0.1375,cuda,17.0,24.0,18.0,27.0,15.0,25.0,153.0,52.0,27.0,42.0
58,200,-1740.8864159654047,159.0,0.5140336808340016,0.528,0.3789970766809085,0.5591999999999999,58,1,49,0,17.550596237182617,-8.49634033203125,18.0,234.0,16.0,0.5551470588235294,0.3076923076923077,0.0125,cuda,31.0,21.0,23.0,26.0,14.0,22.0,51.0,110.0,23.0,79.0
59,200,-1476.1583220031732,225.0,0.46098149637972646,0.3516949152542373,0.46481200936510125,0.5516000000000001,59,1,50,0,18.313915252685547,-7.992086791992188,19.0,213.0,23.0,0.7158671586715867,0.7209302325581395,0.0025,cuda,99.0,24.0,16.0,25.0,26.0,20.0,28.0,60.0,22.0,80.0
60,200,-1537.7939390208783,192.0,0.4899328859060403,0.3807531380753138,0.2624519436138402,0.544,60,1,51,0,17.35239028930664,-8.205697631835937,10.0,217.0,22.0,0.6323529411764706,0.45454545454545453,0.005,cuda,180.0,21.0,15.0,24.0,22.0,17.0,25.0,49.0,20.0,27.0
61,200,-1494.5305660232698,183.0,0.4754237288135593,0.4065040650406504,0.4496676737160121,0.5364,61,1,52,0,16.943464279174805,-8.258596801757813,11.0,225.0,21.0,0.5798611111111112,0.38095238095238093,0.005,cuda,148.0,21.0,16.0,23.0,19.0,13.0,23.0,69.0,23.0,45.0
62,200,-1678.2730306971298,191.0,0.5103668261562998,0.4365079365079365,0.30208255703225273,0.5288,62,1,53,0,16.508989334106445,-7.9710235595703125,23.0,222.0,30.0,0.5935251798561151,0.4482758620689655,0.0575,cuda,99.0,25.0,19.0,16.0,53.0,29.0,24.0,43.0,23.0,69.0
63,200,-1742.8135232885973,115.0,0.5272572402044293,0.5381165919282511,0.28597686236349873,0.5212,63,1,54,0,15.658580780029297,-8.27065185546875,18.0,193.0,30.0,0.3515625,0.43103448275862066,0.005,cuda,167.0,16.0,20.0,31.0,14.0,23.0,22.0,56.0,29.0,22.0
64,200,-1501.6052064690307,223.0,0.4578904333605887,0.4523809523809524,0.6374286996090496,0.5136000000000001,64,1,55,0,17.026874542236328,-8.386275024414063,40.0,247.0,47.0,0.6153846153846154,0.5465116279069767,0.015,cuda,28.0,14.0,21.0,21.0,32.0,88.0,19.0,80.0,77.0,20.0
65,200,-1551.5381313093587,207.0,0.46824104234527686,0.4489051094890511,0.49984251968503934,0.506,65,1,56,0,16.094270706176758,-8.003154907226563,56.0,239.0,35.0,0.5806451612903226,0.45,0.0175,cuda,23.0,24.0,20.0,23.0,21.0,83.0,23.0,68.0,92.0,23.0
66,200,-1582.0296868007604,178.0,0.4885057471264368,0.4090909090909091,0.31620758483033934,0.49839999999999995,66,1,57,0,15.51791763305664,-8.099627685546874,39.0,221.0,21.0,0.6536964980544747,0.38461538461538464,0.035,cuda,68.0,16.0,29.0,21.0,25.0,58.0,24.0,68.0,73.0,18.0
67,200,-1411.0329573023384,220.0,0.44614079728583544,0.4050179211469534,0.7638888888888888,0.4908,67,1,58,0,14.506566047668457,-7.9945068359375,54.0,238.0,42.0,0.6014492753623188,0.782608695652174,0.04,cuda,22.0,22.0,23.0,24.0,64.0,76.0,14.0,116.0,18.0,21.0
68,200,-1431.0567331284792,212.0,0.4594820384294068,0.38,0.5187442289935364,0.48319999999999996,68,1,59,0,15.860936164855957,-7.713060302734375,13.0,229.0,24.0,0.6752767527675276,0.7073170731707317,0.1225,cuda,15.0,17.0,19.0,13.0,72.0,17.0,70.0,141.0,18.0,18.0
69,200,-1856.1521822846162,130.0,0.5358581788879936,0.6472727272727272,0.5777777777777777,0.4756,69,1,60,0,14.644845962524414,-7.669749755859375,16.0,252.0,25.0,0.36363636363636365,0.5116279069767442,0.035,cuda,30.0,22.0,21.0,26.0,30.0,20.0,41.0,59.0,126.0,25.0
70,200,-1733.6021307582919,175.0,0.5228548516439455,0.4755244755244755,0.2662233233363759,0.46799999999999997,70,1,61,0,15.435476303100586,-7.9124993896484375,21.0,270.0,16.0,0.43989071038251365,0.4666666666666667,0.005,cuda,84.0,20.0,30.0,26.0,22.0,25.0,17.0,46.0,99.0,31.0
71,200,-1818.0318082544218,104.0,0.5410788381742738,0.6476683937823834,0.15896531452087007,0.46040000000000003,71,1,62,0,15.36477279663086,-7.863934326171875,18.0,169.0,24.0,0.40707964601769914,0.26666666666666666,0.0225,cuda,64.0,19.0,15.0,17.0,26.0,23.0,93.0,74.0,27.0,42.0
72,200,-2099.670218708366,11.0,0.5994787141615986,0.9478260869565217,0.29876543209876466,0.4528000000000001,72,1,63,0,15.458697319030762,-7.938253784179688,18.0,207.0,24.0,0.03398058252427184,0.08888888888888889,0.025,cuda,68.0,42.0,15.0,20.0,23.0,22.0,48.0,119.0,22.0,21.0
73,200,-1720.4194099628053,139.0,0.5112593828190158,0.5405405405405406,0.38576420085854046,0.44520000000000004,73,1,64,0,14.383044242858887,-8.071115112304687,50.0,232.0,28.0,0.46360153256704983,0.391304347826087,0.0275,cuda,24.0,10.0,21.0,53.0,20.0,107.0,20.0,110.0,13.0,22.0
74,200,-2227.182713909191,43.0,0.5959016393442623,0.8465116279069768,0.31688089117395024,0.4376000000000001,74,1,65,0,14.015213966369629,-7.821256103515625,5.0,187.0,29.0,0.19158878504672897,0.03571428571428571,0.0175,cuda,92.0,33.0,19.0,23.0,63.0,11.0,68.0,56.0,23.0,12.0
75,200,-1444.2727679858217,194.0,0.4570943075615973,0.3888888888888889,0.5103878491998916,0.43000000000000005,75,1,66,0,15.055760383605957,-7.739044189453125,48.0,219.0,33.0,0.5346534653465347,0.48484848484848486,0.07,cuda,51.0,15.0,17.0,22.0,82.0,71.0,23.0,72.0,28.0,19.0
76,200,-1326.1037216869065,234.0,0.42710997442455245,0.4212328767123288,0.5694851794071762,0.4224,76,1,67,0,15.836133003234863,-7.3294677734375,14.0,261.0,31.0,0.617363344051447,0.7241379310344828,0.1275,cuda,23.0,16.0,10.0,19.0,96.0,17.0,52.0,92.0,20.0,55.0
77,200,-1706.118582814961,116.0,0.525963149078727,0.47282608695652173,0.3661496598639456,0.41480000000000006,77,1,68,0,14.762194633483887,-7.4971630859375,39.0,165.0,19.0,0.5340909090909091,0.6666666666666666,0.01,cuda,123.0,21.0,13.0,16.0,14.0,63.0,49.0,61.0,15.0,25.0
78,200,-1596.7429037365398,176.0,0.5016778523489933,0.44680851063829785,0.33953743286199717,0.4072,78,1,69,0,14.001502990722656,-7.529609375,24.0,257.0,25.0,0.5103448275862069,0.6511627906976745,0.0225,cuda,116.0,13.0,12.0,49.0,18.0,38.0,25.0,86.0,18.0,25.0
79,200,-1312.9647337133163,211.0,0.4339457567804024,0.3230769230769231,0.4006028703828677,0.39960000000000007,79,1,70,0,14.657929420471191,-7.832064208984375,29.0,223.0,37.0,0.6666666666666666,0.7205882352941176,0.02,cuda,48.0,27.0,12.0,24.0,62.0,72.0,60.0,68.0,16.0,11.0
80,200,-1574.9271703029353,175.0,0.5,0.25870646766169153,0.3090156904293426,0.392,80,1,71,0,13.765219688415527,-8.115687255859376,16.0,184.0,17.0,0.7401960784313726,0.8,0.0125,cuda,202.0,26.0,14.0,27.0,16.0,24.0,22.0,38.0,18.0,13.0
81,200,-1494.3129970027533,162.0,0.46153846153846156,0.484251968503937,0.32727272727272727,0.38439999999999996,81,1,72,0,14.24245834350586,-7.823931884765625,12.0,227.0,27.0,0.5268817204301075,0.2830188679245283,0.005,cuda,50.0,35.0,12.0,104.0,43.0,15.0,61.0,49.0,16.0,15.0
82,200,-1632.995764409831,188.0,0.49087893864013266,0.5,0.3026286497131604,0.3768,82,1,73,0,13.65243911743164,-7.603585205078125,20.0,254.0,18.0,0.5029940119760479,0.6666666666666666,0.005,cuda,40.0,51.0,23.0,13.0,15.0,24.0,24.0,79.0,16.0,115.0
