step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,invalid_action_rate,out_of_coverage_action_rate,jammed_transmission_rate,invalid_action_count,out_of_coverage_action_count,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
10.0,0.0,0.0,0.0,5.0,34.30685935032765,998.6343145750511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.661500000000002,0.0,0.0,0.0,0.5,0.0015000000000000002,0.0,0.0,0.16000000000000203,0,random,scenario_0_no_jammer_calibrated
11.0,1.0,0.0,0.0,5.2,34.30685935032765,998.4928932188138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.6814142135623752,0.0,0.0,0.0,0.52,0.0014142135623730952,0.0,0.0,0.16000000000000203,0,random,scenario_0_no_jammer_calibrated
12.0,1.0,0.0,0.0,5.4,34.30685935032765,998.3014718625766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.7019142135623752,0.0,0.0,0.0,0.54,0.0019142135623730955,0.0,0.0,0.16000000000000203,0,random,scenario_0_no_jammer_calibrated
13.0,0.0,0.0,0.0,6.0,34.30685935032765,998.1600505063393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.7614142135623753,0.0,0.0,0.0,0.6000000000000001,0.0014142135623730952,0.0,0.0,0.16000000000000203,0,random,scenario_0_no_jammer_calibrated
14.0,0.0,0.0,0.0,6.8,34.30685935032765,998.018629150102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.8414142135623752,0.0,0.0,0.0,0.68,0.0014142135623730952,0.0,0.0,0.16000000000000203,0,random,scenario_0_no_jammer_calibrated
15.0,1.0,0.0,0.0,7.0,34.30685935032765,997.8272077938648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.8619142135623752,0.0,0.0,0.0,0.7000000000000001,0.0019142135623730955,0.0,0.0,0.16000000000000203,0,random,scenario_0_no_jammer_calibrated
16.0,0.0,0.0,0.0,7.6,34.30685935032765,997.6772077938648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.921500000000002,0.0,0.0,0.0,0.76,0.0015000000000000002,0.0,0.0,0.16000000000000203,0,random,scenario_0_no_jammer_calibrated
17.0,0.0,0.0,0.0,7.8,34.30685935032765,997.5772077938648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.9410000000000021,0.0,0.0,0.0,0.78,0.001,0.0,0.0,0.16000000000000203,0,random,scenario_0_no_jammer_calibrated
18.0,1.0,1.0,0.0,7.6,34.30685935032765,997.3857864376275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.11008578643762404,1.0,0.0,0.0,0.76,0.0019142135623730955,0.0,0.0,0.12800000000000286,0,random,scenario_0_no_jammer_calibrated
19.0,0.0,0.0,0.0,8.0,34.30685935032765,997.2857864376275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,-0.9290000000000029,0.0,0.0,0.0,0.8,0.001,0.0,0.0,0.12800000000000286,0,random,scenario_0_no_jammer_calibrated
20.0,0.0,2.0,0.0,8.0,33.30685935032765,997.1357864376275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,2.0,1.0754230769230757,2.0,0.0,0.0,0.8,0.0015000000000000002,0.0,0.0,0.12307692307692425,0,random,scenario_0_no_jammer_calibrated
21.0,1.0,0.0,0.0,8.2,33.30685935032765,996.9857864376276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,2.0,-0.9445769230769241,0.0,0.0,0.0,0.82,0.0015000000000000002,0.0,0.0,0.12307692307692425,0,random,scenario_0_no_jammer_calibrated
22.0,0.0,0.0,0.0,8.4,33.30685935032765,996.8857864376275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,2.0,-0.9640769230769244,0.0,0.0,0.0,0.8400000000000001,0.001,0.0,0.0,0.12307692307692425,0,random,scenario_0_no_jammer_calibrated
23.0,0.0,0.0,0.0,9.2,33.30685935032765,996.7443650813902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,2.0,-1.0444911366392973,0.0,0.0,0.0,0.9199999999999999,0.0014142135623730952,0.0,0.0,0.12307692307692425,0,random,scenario_0_no_jammer_calibrated
24.0,1.0,0.0,0.0,9.6,33.30685935032765,996.602943725153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,2.0,-1.0844911366392973,0.0,0.0,0.0,0.96,0.0014142135623730952,0.0,0.0,0.12307692307692425,0,random,scenario_0_no_jammer_calibrated
25.0,0.0,0.0,0.0,10.0,33.30685935032765,996.4615223689157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,2.0,-1.1244911366392973,0.0,0.0,0.0,1.0,0.0014142135623730952,0.0,0.0,0.12307692307692425,0,random,scenario_0_no_jammer_calibrated
