total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,episode_id,policy_name,scenario_name
-29879.359000000008,0.0,0.0,0.0,0.9899672262724901,9.966000000000001,1993.2000000000003,0.0,3.900000000000002,0.0,3.900000000000002,1.0,0.0,1.0,0.0,104.0,0,backscatter_only,scenario_4_backscatter_types
-29887.441333333343,0.0,0.0,0.0,0.9899638699317543,9.969666666666667,1993.9333333333334,0.0,4.799999999999999,0.0,4.799999999999999,1.0,0.0,1.0,0.0,110.0,1,backscatter_only,scenario_4_backscatter_types
-30129.433666666766,1.0,0.005,6.640106241699867e-05,0.9899734395750333,9.970666666666666,1994.1333333333332,0.21276595744680854,4.699999999999999,0.0,4.699999999999999,0.9893617021276596,0.0,0.06666666666666222,0.0,98.0,2,backscatter_only,scenario_4_backscatter_types
-29727.50466666668,0.0,0.0,0.0,0.9899030694668821,9.972333333333333,1994.4666666666667,0.0,5.799999999999995,0.0,5.799999999999995,1.0,0.0,1.0,0.0,100.0,3,backscatter_only,scenario_4_backscatter_types
-29757.409666666674,0.0,0.0,0.0,0.9899234179766223,9.968333333333334,1993.6666666666667,0.0,4.300000000000001,0.0,4.300000000000001,1.0,0.0,1.0,0.0,104.0,4,backscatter_only,scenario_4_backscatter_types
-30457.42533333334,0.0,0.0,0.0,0.9901619990817866,9.969666666666667,1993.9333333333334,0.0,3.2000000000000015,0.0,3.2000000000000015,1.0,0.0,1.0,0.0,110.0,5,backscatter_only,scenario_4_backscatter_types
-30055.419666666676,0.0,0.0,0.0,0.9900166389351082,9.968333333333332,1993.6666666666663,0.0,5.299999999999997,0.0,5.299999999999997,1.0,0.0,1.0,0.0,88.0,6,backscatter_only,scenario_4_backscatter_types
-29723.035666666692,1.0,0.005,6.728569506122998e-05,0.9898398600457543,9.969333333333333,1993.8666666666666,0.20408163265306128,4.899999999999999,0.0,4.899999999999999,0.9897959183673469,0.0,0.06666666666666222,0.0,102.0,7,backscatter_only,scenario_4_backscatter_types
-29898.78466666674,1.0,0.005,6.689410662920597e-05,0.98989898989899,9.972000000000001,1994.4000000000003,0.263157894736842,3.800000000000002,0.0,3.800000000000002,0.9868421052631579,0.0,0.06666666666666222,0.0,106.0,8,backscatter_only,scenario_4_backscatter_types
-29891.301333333387,1.0,0.005,6.695681285570806e-05,0.989889521258788,9.969333333333333,1993.8666666666666,0.20833333333333337,4.799999999999999,0.0,4.799999999999999,0.9895833333333334,0.0,0.06666666666666222,0.0,114.0,9,backscatter_only,scenario_4_backscatter_types
-30148.383333333422,2.0,0.01,0.0001327668613913967,0.9899097185342538,9.97,997.0,0.40000000000000013,4.999999999999998,0.0,4.999999999999998,0.98,0.0,0.06666666666666556,0.0,102.0,10,backscatter_only,scenario_4_backscatter_types
-29939.46200000001,1.0,0.005,6.685385746757588e-05,0.989905067522396,9.974,1994.8,0.16129032258064532,6.199999999999994,0.0,6.199999999999994,0.9919354838709677,0.0,0.06666666666666222,0.0,106.0,11,backscatter_only,scenario_4_backscatter_types
-29999.56066666675,1.0,0.005,6.674676278200507e-05,0.9899212388199172,9.97,1994.0,0.18518518518518529,5.399999999999997,0.0,5.399999999999997,0.9907407407407407,0.0,0.06666666666666222,0.0,102.0,12,backscatter_only,scenario_4_backscatter_types
-30103.461333333416,1.0,0.005,6.649378283130527e-05,0.989959438792473,9.972000000000001,1994.4000000000003,0.20833333333333337,4.799999999999999,0.0,4.799999999999999,0.9895833333333334,0.0,0.06666666666666222,0.0,92.0,13,backscatter_only,scenario_4_backscatter_types
-30209.585666666673,0.0,0.0,0.0,0.9900767398782747,9.977333333333334,1995.4666666666667,0.0,3.900000000000002,0.0,3.900000000000002,1.0,0.0,1.0,0.0,114.0,14,backscatter_only,scenario_4_backscatter_types
-30285.488333333342,0.0,0.0,0.0,0.9900911613158938,9.971666666666666,1994.333333333333,0.0,5.4999999999999964,0.0,5.4999999999999964,1.0,0.0,1.0,0.0,94.0,15,backscatter_only,scenario_4_backscatter_types
-30206.04433333338,1.0,0.005,6.62471016893011e-05,0.9899966876449156,9.975666666666665,1995.133333333333,0.1960784313725491,5.099999999999998,0.0,5.099999999999998,0.9901960784313726,0.0,0.06666666666666222,0.0,96.0,16,backscatter_only,scenario_4_backscatter_types
-30077.432666666675,0.0,0.0,0.0,0.9900285847237918,9.969333333333333,1993.8666666666666,0.0,4.6,0.0,4.6,1.0,0.0,1.0,0.0,102.0,17,backscatter_only,scenario_4_backscatter_types
-29915.35000000001,0.0,0.0,0.0,0.9899719213798637,9.965,1993.0,0.0,4.999999999999998,0.0,4.999999999999998,1.0,0.0,1.0,0.0,108.0,18,backscatter_only,scenario_4_backscatter_types
-29999.502666666678,0.0,0.0,0.0,0.9899959983993597,9.972333333333333,1994.4666666666667,0.0,5.599999999999996,0.0,5.599999999999996,1.0,0.0,1.0,0.0,98.0,19,backscatter_only,scenario_4_backscatter_types
-30107.461333333344,0.0,0.0,0.0,0.9900371944739639,9.970666666666666,1994.1333333333332,0.0,4.799999999999999,0.0,4.799999999999999,1.0,0.0,1.0,0.0,102.0,20,backscatter_only,scenario_4_backscatter_types
-30087.5240000001,1.0,0.005,6.648494116082707e-05,0.9899607738847152,9.963333333333333,1992.6666666666665,0.22727272727272727,4.4,0.0,4.4,0.9886363636363636,0.0,0.06666666666666222,0.0,108.0,21,backscatter_only,scenario_4_backscatter_types
-30065.545666666676,0.0,0.0,0.0,0.9900159744408946,9.974333333333334,1994.8666666666668,0.0,5.899999999999995,0.0,5.899999999999995,1.0,0.0,1.0,0.0,96.0,22,backscatter_only,scenario_4_backscatter_types
-29893.394666666674,0.0,0.0,0.0,0.9899658840056191,9.967333333333334,1993.466666666667,0.0,4.799999999999999,0.0,4.799999999999999,1.0,0.0,1.0,0.0,100.0,23,backscatter_only,scenario_4_backscatter_types
-29863.42933333334,0.0,0.0,0.0,0.9899638699317543,9.969666666666667,1993.9333333333334,0.0,3.600000000000002,0.0,3.600000000000002,1.0,0.0,1.0,0.0,108.0,24,backscatter_only,scenario_4_backscatter_types
-30157.238333333342,0.0,0.0,0.0,0.9900556881463802,9.959666666666667,1991.9333333333334,0.0,4.5,0.0,4.5,1.0,0.0,1.0,0.0,110.0,25,backscatter_only,scenario_4_backscatter_types
-30111.557333333345,0.0,0.0,0.0,0.9900279218189071,9.974666666666668,1994.9333333333334,0.0,6.399999999999993,0.0,6.399999999999993,1.0,0.0,1.0,0.0,102.0,26,backscatter_only,scenario_4_backscatter_types
-30021.451333333345,0.0,0.0,0.0,0.99000199960008,9.969666666666667,1993.9333333333334,0.0,5.799999999999995,0.0,5.799999999999995,1.0,0.0,1.0,0.0,96.0,27,backscatter_only,scenario_4_backscatter_types
-29953.46433333334,0.0,0.0,0.0,0.9899839743589743,9.970666666666666,1994.1333333333332,0.0,5.099999999999998,0.0,5.099999999999998,1.0,0.0,1.0,0.0,90.0,28,backscatter_only,scenario_4_backscatter_types
-29823.43033333334,0.0,0.0,0.0,0.9899497487437185,9.969666666666667,1993.9333333333334,0.0,3.700000000000002,0.0,3.700000000000002,1.0,0.0,1.0,0.0,116.0,29,backscatter_only,scenario_4_backscatter_types
