scenario_name,policy_name,total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,energy_efficiency,jamming_failure_rate,collision_count,fairness_index,invalid_action_rate,out_of_coverage_action_rate,insufficient_energy_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_backscatter,mode_usage_active
scenario_0_no_jammer_calibrated,backscatter_only,-2248.9894999999997,111.0,0.555,0.09380508348732382,0.8225975766419994,18.91266666666669,19.76524216524221,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,111.0,0.0,0.9971988795518207,0.0,1.0,111.33333333333333,0.0
scenario_0_no_jammer_calibrated,greedy_nearest,-2216.497109618513,129.0,0.645,0.107574336691309,0.8092318917463787,18.63466666666669,9.60462241997282,0.0,0.0,0.20416008028572977,0.0,0.0,0.0,0.0,114.33333333333333,14.666666666666666,0.9970501474926253,1.0,1.0,114.66666666666667,7.333333333333333
scenario_0_no_jammer_calibrated,greedy_sinr,-2078.3138306190185,171.0,0.855,0.14258253770956952,0.7742572544999696,18.499333333333357,4.384853832690769,0.0,0.0,0.45666951350088936,0.0,0.0,0.0,0.0,109.66666666666667,61.333333333333336,1.0,1.0,1.0,109.66666666666667,30.666666666666668
scenario_0_no_jammer_calibrated,htt_only,-2109.4005912241114,166.0,0.83,0.1380887098996873,0.7805487368494082,18.472333333333324,1.782670923332862,0.0,0.0,0.20351056580674717,0.0,0.0,0.0,0.0,0.0,166.0,0.0,1.0,86.03610960776632,0.0,83.0
scenario_0_no_jammer_calibrated,random,-2472.7426155059443,32.333333333333336,0.16166666666666665,0.02722738636594473,0.8881838235216283,19.157,0.827636549461137,0.0,0.0,0.48637260618564326,0.006666666666666667,0.006666666666666667,0.0,0.0,11.0,21.333333333333332,1.0,1.0,13.0,11.333333333333334,11.333333333333334
scenario_1_multi_uav_calibrated,backscatter_only,-4175.284351830923,216.0,1.08,0.08975077440932357,0.8276682143204592,18.849500000000024,19.876278030758698,0.0,0.0,0.20119008979768474,0.0,0.0,0.0,0.0,216.0,0.0,1.0,0.0,1.3333333333333333,216.0,0.0
scenario_1_multi_uav_calibrated,greedy_nearest,-4057.7972381488416,256.3333333333333,1.2816666666666665,0.10619699272746953,0.8116133887256055,18.336166666666685,8.639266411809052,0.0,0.0,0.22159515147430672,0.0,0.0,0.0,0.0,222.0,34.333333333333336,0.998531571218796,1.0,1.3333333333333333,222.33333333333334,17.666666666666668
scenario_1_multi_uav_calibrated,greedy_sinr,-3808.957733638022,329.0,1.6449999999999998,0.13676946680298208,0.7806073716568931,18.331833333333346,4.327525823646468,0.0,0.0,0.5413950723184809,0.0016666666666666668,0.0,0.6666666666666666,0.0,211.33333333333334,117.66666666666667,0.995279276786126,1.0,1.3333333333333333,212.33333333333334,60.0
scenario_1_multi_uav_calibrated,htt_only,-3743.045989875027,365.0,1.825,0.15152652169350017,0.7699023556885262,18.352833333333333,1.8011963887201927,0.0,0.0,0.20596565033950018,0.0,0.0,0.0,0.0,0.0,365.0,0.0,1.0,190.71217367746166,0.0,182.66666666666666
scenario_1_multi_uav_calibrated,random,-4663.56744233905,63.0,0.315,0.02599521600273713,0.891600308762754,19.09883333333335,0.8480518434348369,0.0,0.0,0.5433062489907416,0.009166666666666667,0.009166666666666667,0.0,0.0,24.333333333333332,38.666666666666664,1.0,1.0,23.0,25.666666666666668,20.0
scenario_2a_static_jammer_weak,backscatter_only,-4828.351092494474,45.333333333333336,0.22666666666666668,0.01890669850614257,0.8980982723585016,19.09166666666668,4.220804140728542,0.6272573423308717,0.0,0.1295449604073915,0.0,0.0,0.0,0.6272573423308717,45.333333333333336,0.0,0.21213659706306762,0.0,1.3333333333333333,216.0,0.0
scenario_2a_static_jammer_weak,greedy_nearest,-4777.143074368411,69.66666666666667,0.34833333333333333,0.028915534869189335,0.8885583960680453,18.950000000000014,2.712621410535847,0.5896700930361519,0.0,0.14730539213447905,0.0,0.0,0.0,0.5896700930361519,49.666666666666664,20.0,0.22720189344675265,0.6872710622710624,1.3333333333333333,222.0,14.333333333333334
scenario_2a_static_jammer_weak,greedy_sinr,-5024.1069022452275,57.666666666666664,0.28833333333333333,0.024014785810399564,0.8924662658652035,18.94266666666667,0.7500680974961272,0.8001115548102818,37.666666666666664,0.43552546952356,0.0008333333333333334,0.0,0.3333333333333333,0.8001115548102818,15.0,42.666666666666664,0.07234200984200977,0.3539870689655172,1.3333333333333333,208.66666666666666,59.666666666666664
scenario_2a_static_jammer_weak,htt_only,-4073.0657972752037,254.33333333333334,1.2716666666666667,0.10560729060634295,0.8134596591803936,18.798833333333338,1.2551530427002204,0.0,0.0,0.20144367662511586,0.0,0.0,0.0,0.0,0.0,254.33333333333334,0.0,0.6968803876518423,191.04550701079498,0.0,182.66666666666666
scenario_2a_static_jammer_weak,random,-4764.777702264825,25.333333333333332,0.12666666666666668,0.010468708894571133,0.9069323878619374,19.148333333333344,0.38909522270423963,0.33421750663129973,0.0,0.5403608307228212,0.0075,0.0075,0.0,0.33421750663129973,8.0,17.333333333333332,0.626984126984127,0.6341269841269841,17.0,13.666666666666666,15.0
scenario_2b_static_jammer_medium,backscatter_only,-5021.093128205127,4.666666666666667,0.023333333333333334,0.0019381065052723,0.9149283218268144,19.135500000000004,0.4284576150715862,0.978447818521348,0.0,0.1307692307692299,0.0,0.0,0.0,0.978447818521348,4.666666666666667,0.0,0.021552181478652035,0.0,1.3333333333333333,216.0,0.0
scenario_2b_static_jammer_medium,greedy_nearest,-5058.993999999995,5.0,0.024999999999999998,0.002076684875396967,0.9151105016297003,19.14,0.19457942054305907,0.9803131725259737,0.0,0.12666666666666512,0.0,0.0,0.0,0.9803131725259737,4.333333333333333,0.6666666666666666,0.019366705536120767,0.023809523809523798,1.3333333333333333,226.0,14.0
