step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,invalid_action_rate,out_of_coverage_action_rate,jammed_transmission_rate,invalid_action_count,out_of_coverage_action_count,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
0.0,1.0,0.0,0.0,0.6,34.30685935032765,999.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0605,0.0,0.0,0.0,0.06,0.0005,0.0,0.0,0.0,0,greedy_sinr,scenario_0_no_jammer_calibrated
1.0,1.0,1.0,0.0,1.2,34.30685935032765,999.9000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.719499999999992,1.0,0.0,0.0,0.12,0.0005,0.0,0.0,0.16000000000000802,0,greedy_sinr,scenario_0_no_jammer_calibrated
2.0,1.0,1.0,0.0,1.8,34.30685935032765,999.8500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.659499999999998,1.0,0.0,0.0,0.18000000000000002,0.0005,0.0,0.0,0.16000000000000203,0,greedy_sinr,scenario_0_no_jammer_calibrated
3.0,1.0,1.0,0.0,1.8,34.30685935032765,999.8000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.6594999999999991,1.0,0.0,0.0,0.18000000000000002,0.0005,0.0,0.0,0.16000000000000092,0,greedy_sinr,scenario_0_no_jammer_calibrated
4.0,0.0,2.0,0.0,1.8,33.30685935032765,999.7500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1.6594999999999998,2.0,0.0,0.0,0.18000000000000002,0.0005,0.0,0.0,0.16000000000000034,0,greedy_sinr,scenario_0_no_jammer_calibrated
5.0,1.0,1.0,0.0,2.2,33.30685935032765,999.7000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,1.0,0.634884615384615,1.0,0.0,0.0,0.22000000000000003,0.0005,0.0,0.0,0.14461538461538503,0,greedy_sinr,scenario_0_no_jammer_calibrated
6.0,1.0,1.0,0.0,2.2,33.30685935032765,999.6500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,1.0,0.6324729729729728,1.0,0.0,0.0,0.22000000000000003,0.0005,0.0,0.0,0.1470270270270273,0,greedy_sinr,scenario_0_no_jammer_calibrated
7.0,0.0,1.0,0.0,2.2,32.30685935032765,999.6000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,2.0,0.6434999999999997,1.0,0.0,0.0,0.22000000000000003,0.0005,0.0,0.0,0.13600000000000032,0,greedy_sinr,scenario_0_no_jammer_calibrated
8.0,1.0,0.0,0.0,2.4,32.30685935032765,999.4585786437631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,2.0,-0.37741421356237337,0.0,0.0,0.0,0.24,0.0014142135623730952,0.0,0.0,0.13600000000000032,0,greedy_sinr,scenario_0_no_jammer_calibrated
9.0,1.0,0.0,0.0,3.0,32.30685935032765,999.3171572875258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,2.0,-0.4374142135623734,0.0,0.0,0.0,0.30000000000000004,0.0014142135623730952,0.0,0.0,0.13600000000000032,0,greedy_sinr,scenario_0_no_jammer_calibrated
10.0,0.0,1.0,0.0,3.0,31.30685935032765,999.2671572875258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,2.0,0.5606320754716979,1.0,0.0,0.0,0.30000000000000004,0.0005,0.0,0.0,0.13886792452830213,0,greedy_sinr,scenario_0_no_jammer_calibrated
11.0,1.0,0.0,0.0,3.2,31.30685935032765,999.1257359312885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,2.0,-0.4602821380906753,0.0,0.0,0.0,0.32000000000000006,0.0014142135623730952,0.0,0.0,0.13886792452830213,0,greedy_sinr,scenario_0_no_jammer_calibrated
12.0,0.0,0.0,0.0,3.8,31.30685935032765,998.9843145750513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,2.0,-0.5202821380906753,0.0,0.0,0.0,0.38,0.0014142135623730952,0.0,0.0,0.13886792452830213,0,greedy_sinr,scenario_0_no_jammer_calibrated
13.0,0.0,1.0,0.0,4.4,30.30685935032765,998.9343145750513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,7.0,0.0,3.0,0.42846551724137905,1.0,0.0,0.0,0.44000000000000006,0.0005,0.0,0.0,0.13103448275862092,0,greedy_sinr,scenario_0_no_jammer_calibrated
14.0,1.0,1.0,0.0,4.4,30.30685935032765,998.8843145750513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,8.0,0.0,3.0,0.42580136986301353,1.0,0.0,0.0,0.44000000000000006,0.0005,0.0,0.0,0.1336986301369865,0,greedy_sinr,scenario_0_no_jammer_calibrated
15.0,0.0,0.0,0.0,5.0,30.30685935032765,998.7428932188141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,8.0,0.0,3.0,-0.6351128436993596,0.0,0.0,0.0,0.5,0.0014142135623730952,0.0,0.0,0.1336986301369865,0,greedy_sinr,scenario_0_no_jammer_calibrated
16.0,0.0,0.0,0.0,5.0,30.30685935032765,998.6014718625768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,8.0,0.0,3.0,-0.6351128436993596,0.0,0.0,0.0,0.5,0.0014142135623730952,0.0,0.0,0.1336986301369865,0,greedy_sinr,scenario_0_no_jammer_calibrated
17.0,1.0,1.0,0.0,5.2,30.30685935032765,998.5514718625768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,8.0,0.0,3.0,0.35733783783783757,1.0,0.0,0.0,0.52,0.0005,0.0,0.0,0.12216216216216239,0,greedy_sinr,scenario_0_no_jammer_calibrated
18.0,0.0,2.0,0.0,5.4,29.30685935032765,998.5014718625769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,3.0,0.0,8.0,0.0,3.0,1.3551097560975607,2.0,0.0,0.0,0.54,0.0005,0.0,0.0,0.10439024390243926,0,greedy_sinr,scenario_0_no_jammer_calibrated
19.0,1.0,1.0,0.0,5.6,29.30685935032765,998.4514718625769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,8.0,0.0,3.0,0.34062359550561777,1.0,0.0,0.0,0.5599999999999999,0.0005,0.0,0.0,0.09887640449438227,0,greedy_sinr,scenario_0_no_jammer_calibrated
20.0,1.0,1.0,0.0,5.8,29.30685935032765,998.401471862577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,8.0,0.0,3.0,0.3239897959183672,1.0,0.0,0.0,0.58,0.0005,0.0,0.0,0.09551020408163287,0,greedy_sinr,scenario_0_no_jammer_calibrated
21.0,0.0,2.0,0.0,6.0,28.30685935032765,998.351471862577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,5.0,0.0,10.0,0.0,3.0,1.2962164179104476,2.0,0.0,0.0,0.6000000000000001,0.0005,0.0,0.0,0.1032835820895524,0,greedy_sinr,scenario_0_no_jammer_calibrated
22.0,1.0,1.0,0.0,6.2,28.30685935032765,998.301471862577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,6.0,0.0,10.0,0.0,3.0,0.27908620689655145,1.0,0.0,0.0,0.6200000000000001,0.0005,0.0,0.0,0.10041379310344843,0,greedy_sinr,scenario_0_no_jammer_calibrated
