episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,replay_size,updates_per_episode,train_steps,target_update_count,avg_loss,avg_q_tot,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,backscatter_success_rate,active_success_rate,fallback_rate,device,high_level_action_0_count,high_level_action_1_count,high_level_action_2_count,high_level_action_3_count,high_level_action_4_count,high_level_action_5_count,high_level_action_6_count,high_level_action_7_count,high_level_action_8_count,high_level_action_9_count
1,200,-1636.5058585754664,193.0,0.49718423169750603,0.45614035087719296,0.36120242424242427,0.9924,1,1,0,0,0.0,0.0,30.0,256.0,29.0,0.5143769968051118,0.5925925925925926,0.025,cuda,42.0,37.0,39.0,44.0,40.0,42.0,36.0,37.0,45.0,38.0
2,200,-1534.3171681956633,165.0,0.48080279232111695,0.5053763440860215,0.24921049018261707,0.9848,2,1,0,0,0.0,0.0,31.0,250.0,29.0,0.5487364620938628,0.2549019607843137,0.05,cuda,36.0,34.0,50.0,34.0,36.0,36.0,42.0,50.0,41.0,41.0
3,200,-1541.3909330585807,202.0,0.47890818858560796,0.4448669201520912,0.3503692254851451,0.9772,3,1,0,0,0.0,0.0,41.0,226.0,37.0,0.5045871559633027,0.5522388059701493,0.0225,cuda,43.0,30.0,34.0,38.0,34.0,51.0,44.0,36.0,43.0,47.0
4,200,-1680.3190053212666,198.0,0.5058639562157936,0.44106463878326996,0.2909171861086376,0.9696,4,1,0,0,0.0,0.0,38.0,234.0,30.0,0.5573770491803278,0.5490196078431373,0.0125,cuda,40.0,34.0,29.0,40.0,38.0,57.0,44.0,37.0,47.0,34.0
5,200,-1558.3904109528294,188.0,0.4782608695652174,0.44776119402985076,0.41135940409683425,0.962,5,1,0,0,0.0,0.0,32.0,231.0,37.0,0.46905537459283386,0.6285714285714286,0.0025,cuda,44.0,36.0,39.0,43.0,44.0,41.0,45.0,37.0,31.0,40.0
6,200,-1519.5373849738157,194.0,0.4948892674616695,0.4591439688715953,0.21913245997088793,0.9544,6,1,0,0,0.0,0.0,29.0,234.0,23.0,0.5785953177257525,0.5121951219512195,0.0575,cuda,42.0,42.0,35.0,36.0,34.0,37.0,51.0,50.0,39.0,34.0
7,200,-1419.2991895332257,231.0,0.46422628951747086,0.41603053435114506,0.3532320524277629,0.9468,7,1,0,0,0.0,0.0,33.0,242.0,20.0,0.625,0.47058823529411764,0.0325,cuda,47.0,40.0,34.0,36.0,42.0,40.0,38.0,45.0,40.0,38.0
8,200,-1409.978354429861,205.0,0.4478632478632479,0.4254545454545455,0.4630088690574561,0.9392,8,1,0,0,0.0,0.0,29.0,255.0,20.0,0.5961538461538461,0.5588235294117647,0.005,cuda,53.0,43.0,36.0,44.0,35.0,36.0,41.0,36.0,47.0,29.0
9,200,-1610.6582365529132,175.0,0.485,0.5138888888888888,0.3308485928806784,0.9316,9,1,0,0,0.0,0.0,37.0,243.0,46.0,0.5193798449612403,0.45054945054945056,0.005,cuda,41.0,34.0,42.0,36.0,40.0,43.0,33.0,32.0,64.0,35.0
10,200,-1544.1041339576595,182.0,0.49447748513169076,0.4575645756457565,0.2721551228329636,0.924,10,1,1,0,98.13762664794922,0.10785395050048828,24.0,241.0,31.0,0.5435540069686411,0.4406779661016949,0.0325,cuda,53.0,40.0,35.0,44.0,24.0,32.0,46.0,48.0,42.0,36.0
11,200,-1543.010628536807,165.0,0.47680412371134023,0.508130081300813,0.28814097475789807,0.9164,11,1,2,0,94.88619232177734,-0.06008549083362926,36.0,215.0,32.0,0.5357142857142857,0.4918032786885246,0.0325,cuda,53.0,31.0,41.0,27.0,36.0,41.0,58.0,38.0,40.0,35.0
12,200,-1533.2017604152893,228.0,0.4739837398373984,0.4444444444444444,0.35617677286742033,0.9088,12,1,3,0,91.6331787109375,-0.23707303365071614,22.0,251.0,28.0,0.640625,0.4423076923076923,0.01,cuda,55.0,39.0,37.0,33.0,36.0,30.0,41.0,31.0,59.0,39.0
13,200,-1565.1991901216923,182.0,0.48502495840266224,0.43609022556390975,0.4751004016064257,0.9012,13,1,4,0,88.76856994628906,-0.4072467510516827,33.0,237.0,29.0,0.5464684014869888,0.6730769230769231,0.0075,cuda,69.0,29.0,33.0,44.0,29.0,35.0,34.0,37.0,48.0,42.0
14,200,-1637.5981134115345,186.0,0.4955823293172691,0.44866920152091255,0.4361573373676248,0.8936,14,1,5,0,86.64926147460938,-0.5808731951032367,34.0,238.0,25.0,0.5064935064935064,0.6976744186046512,0.01,cuda,41.0,39.0,33.0,33.0,31.0,46.0,39.0,43.0,52.0,43.0
15,200,-1612.3056117192539,184.0,0.48489795918367345,0.4810606060606061,0.4335510308618261,0.886,15,1,6,0,84.37296295166016,-0.7651749674479167,30.0,229.0,35.0,0.5017301038062284,0.5909090909090909,0.0025,cuda,34.0,31.0,43.0,26.0,38.0,34.0,64.0,51.0,44.0,35.0
16,200,-1736.1745423185114,150.0,0.5177419354838709,0.512,0.3991484832357637,0.8784,16,1,7,0,82.40628051757812,-0.9568388366699219,27.0,227.0,23.0,0.5059288537549407,0.5365853658536586,0.025,cuda,39.0,38.0,31.0,36.0,33.0,36.0,52.0,41.0,62.0,32.0
17,200,-1540.2152761953776,202.0,0.4735973597359736,0.4552238805970149,0.3094024871094935,0.8708,17,1,8,0,78.80708312988281,-1.153741683959961,32.0,231.0,37.0,0.5620689655172414,0.5492957746478874,0.02,cuda,51.0,34.0,42.0,29.0,21.0,39.0,47.0,55.0,48.0,34.0
18,200,-1555.323336560883,176.0,0.47394957983193275,0.4528985507246377,0.49191678577100206,0.8632,18,1,9,0,75.38056945800781,-1.3769754028320313,27.0,242.0,35.0,0.4664429530201342,0.5606060606060606,0.01,cuda,48.0,49.0,40.0,36.0,36.0,36.0,28.0,54.0,40.0,33.0
19,200,-1906.5719200124552,96.0,0.5697674418604651,0.6930232558139535,0.12585006145022531,0.8556,19,1,10,0,74.86621856689453,-1.6571273803710938,23.0,196.0,19.0,0.31560283687943264,0.1891891891891892,0.115,cuda,33.0,53.0,22.0,36.0,36.0,30.0,62.0,45.0,53.0,30.0
20,200,-1585.6831340486774,221.0,0.47607655502392343,0.4888888888888889,0.46022143698468787,0.848,20,1,11,0,71.11957550048828,-1.926036376953125,27.0,236.0,34.0,0.5953947368421053,0.6153846153846154,0.01,cuda,35.0,37.0,42.0,37.0,36.0,36.0,39.0,42.0,68.0,28.0
21,200,-1565.1974547956827,202.0,0.4814509480626546,0.49466192170818507,0.3513648497373633,0.8404,21,1,12,0,66.62873077392578,-2.200428009033203,25.0,250.0,31.0,0.45257452574525747,0.6140350877192983,0.0125,cuda,46.0,30.0,26.0,48.0,30.0,30.0,36.0,67.0,46.0,41.0
22,200,-1501.1643968621868,206.0,0.4644628099173554,0.43820224719101125,0.43310879771381916,0.8328,22,1,13,0,61.58381271362305,-2.512143249511719,33.0,235.0,32.0,0.4824561403508772,0.7321428571428571,0.0175,cuda,32.0,33.0,39.0,38.0,29.0,45.0,30.0,43.0,89.0,22.0
23,200,-1687.3329695210912,172.0,0.49959709911361805,0.49280575539568344,0.3894681411269089,0.8252,23,1,14,0,59.25477600097656,-2.8756585693359376,33.0,242.0,36.0,0.47796610169491527,0.4696969696969697,0.015,cuda,37.0,25.0,26.0,46.0,31.0,41.0,39.0,25.0,88.0,42.0
