step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,invalid_action_rate,out_of_coverage_action_rate,jammed_transmission_rate,invalid_action_count,out_of_coverage_action_count,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
10.0,0.0,0.0,0.0,4.0,34.30685935032765,999.8000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,-0.5600000000000009,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.16000000000000092,0,backscatter_only,scenario_0_no_jammer_calibrated
11.0,1.0,1.0,0.0,4.0,34.30685935032765,999.7500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.43949999999999956,1.0,0.0,0.0,0.4,0.0005,0.0,0.0,0.1600000000000005,0,backscatter_only,scenario_0_no_jammer_calibrated
12.0,0.0,0.0,0.0,4.2,34.30685935032765,999.7500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,-0.5800000000000005,0.0,0.0,0.0,0.42000000000000004,0.0,0.0,0.0,0.1600000000000005,0,backscatter_only,scenario_0_no_jammer_calibrated
13.0,1.0,1.0,0.0,4.8,34.30685935032765,999.7000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.3594999999999997,1.0,0.0,0.0,0.48,0.0005,0.0,0.0,0.16000000000000034,0,backscatter_only,scenario_0_no_jammer_calibrated
14.0,0.0,0.0,0.0,5.2,34.30685935032765,999.7000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,-0.6800000000000004,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.16000000000000034,0,backscatter_only,scenario_0_no_jammer_calibrated
15.0,1.0,1.0,0.0,5.2,34.30685935032765,999.6500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.31949999999999973,1.0,0.0,0.0,0.52,0.0005,0.0,0.0,0.16000000000000025,0,backscatter_only,scenario_0_no_jammer_calibrated
16.0,0.0,0.0,0.0,5.6,34.30685935032765,999.6500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,-0.7200000000000002,0.0,0.0,0.0,0.5599999999999999,0.0,0.0,0.0,0.16000000000000025,0,backscatter_only,scenario_0_no_jammer_calibrated
17.0,1.0,1.0,0.0,5.4,34.30685935032765,999.6000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.29949999999999977,1.0,0.0,0.0,0.54,0.0005,0.0,0.0,0.16000000000000017,0,backscatter_only,scenario_0_no_jammer_calibrated
18.0,1.0,1.0,0.0,5.6,34.30685935032765,999.5500000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,1.0,0.29069999999999985,1.0,0.0,0.0,0.5599999999999999,0.0005,0.0,0.0,0.1488000000000002,0,backscatter_only,scenario_0_no_jammer_calibrated
19.0,1.0,1.0,0.0,6.0,34.30685935032765,999.5000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,2.0,0.26063207547169776,1.0,0.0,0.0,0.6000000000000001,0.0005,0.0,0.0,0.13886792452830213,0,backscatter_only,scenario_0_no_jammer_calibrated
