total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,episode_id,policy_name,scenario_name
-20013.618154989137,7.0,0.035,0.0006995802518488907,0.9893064161503098,9.965499999999999,284.72857142857134,0.13678694771672903,47.174473272817245,4.0,51.174473272817245,0.6,0.0,0.37692307692307403,2.0,168.0,0,random,scenario_3_mobile_jammer
-19983.31459500464,9.0,0.045,0.0009009009009009009,0.9890890890890891,9.9605,221.34444444444443,0.1722343913193526,48.25437226013956,4.0,52.25437226013956,0.36363636363636365,0.0,0.2999999999999989,5.0,179.0,1,random,scenario_3_mobile_jammer
-20086.71713688708,9.0,0.045,0.0008966822755803527,0.9891401813290824,9.9695,221.54444444444445,0.16675003733055863,46.97300141024112,7.0,53.97300141024112,0.7,0.0,0.12461538461538442,6.0,182.0,2,random,scenario_3_mobile_jammer
-19734.407568262166,5.0,0.025,0.0005074596569572719,0.9893433472038973,9.9665,398.65999999999997,0.09315415122167925,46.67447327281726,7.0,53.67447327281726,0.8260869565217391,0.0,0.1470588235294109,7.0,178.0,3,random,scenario_3_mobile_jammer
-19823.129346001933,12.0,0.06,0.0012107759055594793,0.9886994248814449,9.965,166.08333333333334,0.18257630187409832,47.725945135393346,18.0,65.72594513539335,0.8157894736842105,1.0,0.31304347826086887,3.0,144.0,4,random,scenario_3_mobile_jammer
-20333.075401586982,0.0,0.0,0.0,0.9901545732007483,9.9795,1995.8999999999999,0.0,48.54015869776649,7.0,55.54015869776649,1.0,2.0,1.0,3.0,173.0,5,random,scenario_3_mobile_jammer
-19979.992020995385,9.0,0.045,0.000900810729656691,0.9890901811630467,9.966000000000001,221.4666666666667,0.17246978989246245,47.18305191657993,5.0,52.18305191657993,0.6,0.0,0.23142857142857076,5.0,170.0,6,random,scenario_3_mobile_jammer
-19771.522815800538,7.0,0.035,0.0007086454747924681,0.989167847742458,9.9695,284.8428571428571,0.11689738302975802,48.8815800540038,11.0,59.8815800540038,0.7894736842105263,0.0,0.23333333333333223,7.0,187.0,7,random,scenario_3_mobile_jammer
-19770.847401586998,2.0,0.01,0.00020267531414673692,0.9896635589785164,9.969,996.9,0.03653624774897858,48.740158697766454,6.0,54.740158697766454,0.9285714285714286,0.0,0.0999999999999975,8.0,162.0,8,random,scenario_3_mobile_jammer
-19816.164140373214,19.0,0.095,0.0019155156769835669,0.9880028228652082,9.953500000000002,104.77368421052633,0.3446836985271645,48.12300141024108,7.0,55.12300141024108,0.44,1.0,0.3574257425742571,4.0,175.0,9,random,scenario_3_mobile_jammer
-19831.35455572179,8.0,0.04,0.0008071025020177562,0.9891041162227603,9.964500000000001,249.1125,0.1609230435202998,45.71320343559642,4.0,49.71320343559642,0.4,0.0,0.35555555555555357,3.0,174.0,10,random,scenario_3_mobile_jammer
-19953.917087878523,3.0,0.015,0.00030111412225233364,0.9896617484693365,9.974499999999999,664.9666666666666,0.05290185373117241,46.70878784786799,10.0,56.70878784786799,0.9130434782608695,0.0,0.0999999999999989,4.0,165.0,11,random,scenario_3_mobile_jammer
-19880.03170057689,4.0,0.02,0.00040290088638195,0.9895245769540693,9.964500000000001,498.225,0.07224121063318312,47.3700576850888,8.0,55.3700576850888,0.8421052631578947,0.0,0.15999999999999842,3.0,182.0,12,random,scenario_3_mobile_jammer
-20076.153418903024,11.0,0.055,0.001095399322844055,0.9891455885281817,9.9635,181.15454545454546,0.20843991635968143,47.77300141024108,5.0,52.77300141024108,0.25,0.0,0.2688888888888883,1.0,189.0,13,random,scenario_3_mobile_jammer
-20161.137614416537,12.0,0.06,0.0011908306043465317,0.988885581026099,9.968499999999999,166.14166666666665,0.18095209402094867,50.315894629054526,16.0,66.31589462905453,0.7096774193548387,0.0,0.3789473684210516,5.0,136.0,14,random,scenario_3_mobile_jammer
-20183.560879145687,22.0,0.11,0.0021782178217821784,0.9879207920792079,9.962,90.56363636363636,0.3727716316030444,47.01736649163066,12.0,59.01736649163066,0.5517241379310345,3.0,0.40333333333333304,5.0,167.0,15,random,scenario_3_mobile_jammer
-20013.046492045643,18.0,0.09,0.0017960486928756735,0.9882259030133705,9.9635,110.70555555555556,0.33071567590046597,45.427416997969516,9.0,54.427416997969516,0.3684210526315789,0.0,0.704347826086955,4.0,165.0,16,random,scenario_3_mobile_jammer
-20153.929711971025,7.0,0.035,0.0006951340615690168,0.9893743793445879,9.969,284.82857142857137,0.12693285767127563,48.14726547895305,7.0,55.14726547895305,0.7391304347826086,0.0,0.37692307692307403,2.0,160.0,17,random,scenario_3_mobile_jammer
-19907.411955417545,18.0,0.09,0.0018057784911717496,0.9881621187800963,9.9575,110.63888888888889,0.3260017781246841,48.21442276647841,7.0,55.21442276647841,0.21428571428571427,0.0,0.37674418604651116,5.0,176.0,18,random,scenario_3_mobile_jammer
-19950.65748105309,10.0,0.05,0.001004217714400482,0.9889536051415947,9.966500000000002,199.33,0.17387756769770374,46.511731573020285,11.0,57.511731573020285,0.6818181818181818,6.0,0.4545454545454525,3.0,159.0,19,random,scenario_3_mobile_jammer
-20016.306916305635,5.0,0.025,0.0004995504046358277,0.9895094415026476,9.9695,398.78,0.09042959936844767,47.29163056034261,8.0,55.29163056034261,0.7857142857142857,0.0,0.2777777777777747,3.0,177.0,20,random,scenario_3_mobile_jammer
-20017.45120554969,6.0,0.03,0.000600120024004801,0.9893978795759152,9.9695,332.31666666666666,0.10528405431330315,47.9886868351903,9.0,56.9886868351903,0.7894736842105263,0.0,0.25714285714285534,4.0,162.0,21,random,scenario_3_mobile_jammer
-19822.653558201735,15.0,0.075,0.001511639625113373,0.9884107628741308,9.962499999999999,132.83333333333331,0.2714295880812405,48.26295090390223,7.0,55.26295090390223,0.35714285714285715,0.0,0.5487804878048766,2.0,164.0,22,random,scenario_3_mobile_jammer
-19971.495487212524,5.0,0.025,0.0005013033888109083,0.9894726288349709,9.968499999999999,398.73999999999995,0.08770351205897088,47.010259710444146,10.0,57.010259710444146,0.8571428571428571,0.0,0.19230769230769085,6.0,185.0,23,random,scenario_3_mobile_jammer
-20010.084730014107,0.0,0.0,0.0,0.9899969990997299,9.9795,1995.8999999999999,0.0,49.4730014102411,12.0,61.4730014102411,1.0,0.0,1.0,3.0,145.0,24,random,scenario_3_mobile_jammer
-20018.50424315096,13.0,0.065,0.0012985715712716013,0.9887124163420238,9.9555,153.16153846153847,0.25202795235022923,47.58158005400378,4.0,51.58158005400378,0.09090909090909091,4.0,0.3755555555555547,7.0,190.0,25,random,scenario_3_mobile_jammer
-20043.049047438162,19.0,0.095,0.001892807332137876,0.9881450488145049,9.964999999999998,104.89473684210525,0.3450503799990189,47.0644227664784,8.0,55.0644227664784,0.08333333333333333,1.0,0.38817204301075225,5.0,179.0,26,random,scenario_3_mobile_jammer
-20077.701477128106,5.0,0.025,0.0004986536351850005,0.989528273661115,9.972000000000001,398.88000000000005,0.08808105699158393,46.76589462905453,10.0,56.76589462905453,0.8095238095238095,0.0,0.2272727272727252,5.0,170.0,27,random,scenario_3_mobile_jammer
-20016.274263680734,16.0,0.08,0.001597125174685566,0.9884208424835297,9.96,124.50000000000001,0.27942713926060847,49.260007178749945,8.0,57.260007178749945,0.5862068965517241,0.0,0.5333333333333322,4.0,152.0,28,random,scenario_3_mobile_jammer
-19876.127881184762,17.0,0.085,0.0017099175216254276,0.9882317441158721,9.967500000000003,117.26470588235297,0.277829136058908,49.1886868351903,12.0,61.1886868351903,0.5555555555555556,3.0,0.40704225352112616,1.0,156.0,29,random,scenario_3_mobile_jammer
